Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,mg/L,ug/L, mg/L,mg/L,Qual Code,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
           ,      ,    ,    ,     ,      ,      ,     ,     ,     ,      ,    ,    ,    ,    ,      ,    ,     ,    ,      ,     ,,      ,    ,     ,     ,     ,     ,     ,     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-05 00:00:00,WW_12,10.4,1.2,7.4,0.877,0.1,0.91,0.0,77.2,846.0,12.0,4.0,13.2,212.0,282.0,0.0,4.9,0.0,0.0,0.0,,,<4.75,7.09,60.0,60.0,2.0,0.0,0.0,0.0405,0.0368,0.055,0.054,0.0,0.0,78.19,76.0,0.0028,0.0,0.0,0.0,0.0,0.7,0.072,0.09,0.08,32.96,32.537,0.0929,0.076,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0,1.19,,,,,,
2009-01-05 00:00:00,WW_13,8.8,1.5,7.6,3.397,0.0,1.04,0.28,36.02,516.0,12.0,4.0,26.2,154.0,146.0,0.21,6.2,0.0,0.0,0.0,,,<4.72,7.34,150.0,,2.1,0.0,0.0,0.0278,0.0231,0.0,0.04,0.0,0.0,52.67,51.45,0.0028,0.0,0.0,0.0,0.0,1.0,0.105,0.073,0.072,24.49,24.157,0.0466,0.0316,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0,3.59,,,,,,
2009-01-05 00:00:00,WW_78,11.9,1.1,7.4,1.575,0.16,0.75,0.0,52.85,1514.0,8.0,4.0,8.35,199.0,572.0,0.21,4.0,0.0,0.0,0.0,,,,,230.0,160.0,1.7,0.0,0.0,0.0625,0.056,0.05,0.067,0.0,0.0,77.67,80.62,0.0032,0.0,0.0,0.0,0.0,0.52,0.059,0.088,0.075,25.87,28.248,0.1192,0.0922,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.014,2.95,,,,,,
2009-01-05 00:00:00,WW_17,10.6,1.7,7.0,3.199,0.0,1.11,0.26,37.72,534.0,13.0,4.0,27.0,150.0,162.0,0.21,6.2,0.0,0.0,0.0,,,<2.83,8.92,200.0,,2.2,0.0,0.0,0.0291,0.0236,0.0,0.039,0.0,0.0,52.5,51.21,0.0029,0.0,0.0,0.0,0.0,1.1,0.077,0.072,0.066,24.0,23.765,0.0384,0.0198,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,4.11,,,,,,
2009-01-05 00:00:00,WW_19,8.4,1.8,7.5,3.283,0.0,1.02,0.26,39.57,572.0,13.0,3.0,26.6,159.0,181.0,0.22,5.9,0.0,0.0,0.0,,,<4.06,<5.03,250.0,,1.9,0.0,0.0,0.0297,0.0246,0.0,0.043,0.0,0.0,53.57,50.66,0.0027,0.0,0.0,0.0,0.0,1.13,0.104,0.073,0.068,24.17,23.286,0.0318,0.0154,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,4.04,,,,,,
2009-01-05 00:00:00,WW_20,10.3,1.1,7.4,3.191,0.11,1.31,0.28,38.08,576.0,16.0,6.0,29.0,152.0,181.0,0.21,5.9,0.0,0.0,0.0,,,<2.73,7.85,310.0,,1.9,0.0,0.0,0.0302,0.0245,0.0,0.043,0.0,0.0,53.7,52.99,0.0029,0.0,0.0,0.0,0.0,1.17,0.083,0.073,0.068,24.08,23.844,0.0335,0.015,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,4.77,,,,,,
2009-01-05 00:00:00,WW_24,12.0,2.3,7.8,5.317,0.14,0.99,0.65,73.09,1014.0,15.0,5.0,17.8,176.0,385.0,0.3,4.0,5.0,0.0,0.0,,,<4.53,9.23,600.0,,2.0,0.0,0.0,0.0362,0.0335,0.078,0.079,0.0,0.0,77.93,78.0,0.0,0.0,0.0,0.0,0.0,0.76,0.064,0.086,0.085,29.47,29.848,0.0555,0.0452,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,4.46,,,,,,
2009-01-05 00:00:00,WW_109,11.7,0.7,7.8,4.509,0.32,1.21,0.53,72.29,1012.0,18.0,6.0,16.9,174.0,385.0,0.29,3.9,0.0,0.0,0.0,,,<4.65,7.03,560.0,,2.2,0.0,0.0,0.0379,0.0346,0.078,0.08,0.0,0.0,76.72,76.67,0.0,0.0,0.0,0.0,0.0,0.82,0.053,0.088,0.07,28.81,29.328,0.0613,0.0491,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,5.23,,,,,,
