Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,Qual Code,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L ,Qual Code, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,Qual Code,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-02 00:00:00,WW_12,9.0,10.2,6.54,0.464,0.19,0.96,0.0,69.44,486.0,AD,24.0,3.0,22.7,190.0,123.0,0.0,6.8,0.0,0.0,0.0,,<2.11,<5.32,210.0,,8.2,0.0,0.0,0.0358,0.0319,0.095,0.085,0.0,0.0,59.46,58.41,0.0257,0.008,0.0,,0.0,0.0,1.68,0.103,0.0,0.0,25.24,24.905,0.1121,0.0819,,0.0,,0.013,0.0105,0.0,0.0,0.0,0.0,0.021,0.01,5.43,,,,,,
2009-11-02 00:00:00,WW_13,7.7,10.1,7.34,1.757,0.19,0.88,0.0,47.05,418.0,AD,11.0,4.0,17.1,210.0,102.0,0.2,7.4,0.0,0.0,0.0,,<2.95,5.66,70.0,,6.9,0.0,0.0,0.0305,0.0266,0.078,0.074,0.0,0.0,57.26,56.81,0.0,0.0,0.0,,0.0,0.0,0.88,0.102,0.0,0.0,26.02,26.153,0.0451,0.0182,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65,,,,,,
2009-11-02 00:00:00,WW_77,8.9,10.7,7.74,0.404,0.19,0.74,0.0,44.14,540.0,AD,19.0,9.0,19.7,204.0,208.0,0.0,4.1,0.0,0.0,0.0,,<1.88,<4.72,350.0,,6.0,0.0,0.0,0.0454,0.0448,0.077,0.086,0.0,0.0,57.19,59.83,0.0,0.0,0.0,,0.0,0.0,0.75,0.051,0.0,0.0,20.49,21.807,0.0853,0.0761,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,2.58,,,,,,
2009-11-02 00:00:00,WW_78,9.3,15.6,7.75,4.888,0.2,0.85,0.0,62.96,596.0,AD,20.0,7.0,5.47,272.0,155.0,0.41,4.1,0.0,0.0,0.0,,2.18,6.14,3200.0,,1.0,0.0,0.0,0.0338,0.0331,0.149,0.149,0.0,0.0,79.65,78.36,0.0,0.0,0.0,,0.0,0.0,0.14,0.042,0.0,0.0,29.83,30.225,0.017,0.0139,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.013,1.21,,,,,,
2009-11-02 00:00:00,WW_17,8.3,11.2,7.69,1.629,0.0,0.98,0.0,48.99,358.0,AD,15.0,6.0,17.0,200.0,104.0,0.22,7.0,0.0,0.0,0.0,,<2.55,5.99,210.0,,6.6,0.0,0.0,0.0312,0.0279,0.072,0.07,0.0,0.0,58.56,57.51,0.0,0.0,0.0,,0.0,0.0,0.89,0.093,0.0,0.0,25.65,25.414,0.0464,0.0203,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,
2009-11-02 00:00:00,WW_19,7.7,11.1,7.85,1.653,0.0,0.86,0.0,52.62,476.0,AD,15.0,5.0,17.2,202.0,109.0,0.2,7.1,0.0,0.0,0.0,,<2.61,<4.94,410.0,,6.9,0.0,0.0,0.0315,0.0282,0.077,0.075,0.0,0.0,59.79,58.05,0.0,0.0,0.0,,0.0,0.0,0.84,0.116,0.0,0.0,25.59,25.237,0.0437,0.0193,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,,,,,,
2009-11-02 00:00:00,WW_20,7.5,11.2,7.91,1.568,0.0,0.84,0.0,51.76,458.0,AD,17.0,4.0,15.3,191.0,106.0,0.22,7.0,0.0,0.0,0.0,,<1.56,<5.08,220.0,,7.2,0.0,0.0,0.0315,0.0279,0.079,0.075,0.0,0.0,58.87,57.47,0.0,0.0,0.0,,0.0,0.0,0.82,0.102,0.0,0.0,25.17,24.795,0.0429,0.0181,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,,,,,,
2009-11-02 00:00:00,WW_24,8.6,11.0,7.3,2.084,0.13,0.76,0.29,56.34,498.0,AD,27.0,8.0,20.9,180.0,126.0,0.23,5.4,0.0,0.0,0.0,,<2.85,<5.33,730.0,660.0,10.3,0.0,0.0,0.0296,0.0254,0.097,0.08,0.0,0.0,55.58,55.13,0.0069,0.0029,0.0,,0.0,0.0,1.02,0.089,0.0,0.0,21.11,21.174,0.0468,0.0203,,0.0,,0.0,0.004,0.0,0.0,0.0,0.0,0.017,0.0,7.42,,,,,,
