Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,TDS,SS  ,VSS ,TURB,ALK,CL   ,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Mn sol,Hg tot,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Se sol,Ag tot,Ag sol,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,Qual Code,mg/L,mg/L,NTU,mg/L,mg/L,Qual Code, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L ,Qual Code, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L ,Qual Code, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,Qual Code,ug/L,Qual Code,ug/L, mg/L , mg/L , mg/L , mg/L ,Qual Code, mg/L , mg/L ,Qual Code, mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-01 00:00:00,WW_12,11.9,3.8,7.36,0.501,0.17,0.74,0.0,109.57,1848.0,,20.0,4.0,10.1,255.0,814.0,AH,0.0,3.4,0.0,0.006,0.0,-----,<4.13,5.78,60.0,-----,6.0,0.0,0.0,,0.0727,0.0633,0.066,0.094,0.0,0.0,120.59,123.28,0.0,0.0,0.0,0.0,0.0,0.71,,0.035,0.017,0.023,48.03,49.416,0.1511,0.1292,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.047,0.0,2.23,,,,,,
2010-03-01 00:00:00,WW_13,11.8,4.0,7.7,6.897,0.0,0.9,0.65,70.78,1020.0,,8.0,3.0,4.26,226.0,379.0,,0.37,4.4,0.0,0.0,0.0,-----,<4.94,<5.93,510.0,460.0,10.2,0.0,0.0,,0.0514,0.0415,0.111,0.146,0.0,0.0,90.5,92.64,0.0,0.0,0.0,0.0,0.0,0.36,,0.035,0.0,0.0,38.18,38.809,0.121,0.112,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.047,0.019,1.09,,,,,,
2010-03-01 00:00:00,WW_78,10.3,10.5,7.5,8.064,0.14,1.28,1.37,88.48,1260.0,D,6.0,4.0,2.11,185.0,463.0,,0.71,4.8,0.0,0.005,0.0,-----,<3.51,<5.08,450.0,-----,3.7,0.0,0.0,,0.0427,0.0346,0.172,0.218,0.0,0.0,94.94,98.42,0.0,0.0,0.0,0.0,0.0,0.11,,0.043,0.0,0.021,34.06,35.38,0.0329,0.0287,,0.0,,-----,0.013,0.0121,0.0,0.0,,0.0,0.0,,0.062,0.04,1.34,,,,,,
2010-03-01 00:00:00,WW_17,11.6,4.4,8.1,5.591,0.0,0.79,0.52,74.03,1246.0,,7.0,0.0,4.94,227.0,502.0,,0.33,3.9,0.0,0.0,0.0,-----,2.26,<6.04,160.0,130.0,7.7,0.0,0.0,,0.056,0.0478,0.097,0.128,0.0,0.0,97.18,95.96,0.0,0.0,0.0,0.0,0.0,0.33,,0.031,0.0,0.0,39.93,40.444,0.1011,0.0924,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.033,0.012,1.3,,,,,,
2010-03-01 00:00:00,WW_19,12.1,4.8,8.18,6.051,0.1,1.01,0.7,78.09,1354.0,,8.0,3.0,4.97,216.0,568.0,,0.39,4.1,0.0,0.0,0.0,-----,<3.55,7.72,310.0,310.0,18.3,0.0,0.0,,0.0571,0.0496,0.111,0.142,0.0,0.0,98.19,98.27,0.0,0.0,0.0,0.0,0.0,0.29,,0.029,0.0,0.0,38.62,38.469,0.0892,0.0805,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.041,0.021,1.89,,,,,,
2010-03-01 00:00:00,WW_20,11.1,6.4,8.23,6.091,0.0,0.92,0.74,81.71,1488.0,,7.0,3.0,4.24,216.0,621.0,AH,0.4,5.8,0.0,0.005,0.0,-----,<6.06,7.95,260.0,160.0,13.8,0.0,0.0,,0.0587,0.052,0.114,0.151,0.0,0.0,102.01,103.79,0.0,0.0,0.0,0.0,0.0,0.31,,0.032,0.0,0.0,39.58,40.714,0.0974,NA,Q,0.0,,-----,0.0,0.0032,0.0,0.0,,0.0,0.0,,0.044,0.025,2.31,,,,,,
2010-03-01 00:00:00,WW_24,7.2,6.8,7.73,7.369,0.16,0.98,1.19,103.35,1782.0,,16.0,5.0,10.1,194.0,796.0,AH,0.47,3.2,0.0,0.005,0.0,-----,5.49,<7.11,470.0,-----,9.8,0.0,0.0,,0.059,0.0515,0.136,0.172,0.0,0.0,112.51,117.11,0.0,0.0,0.0,0.0,0.011,0.52,,0.033,0.0,0.0,40.22,41.908,0.0766,0.0648,,0.0,,-----,0.0,0.0024,0.0,0.0,,0.0,0.0,,0.047,0.029,6.36,,,,,,
2010-03-01 00:00:00,WW_109,7.4,5.0,7.81,6.583,0.36,1.18,1.05,107.1,1902.0,,9.0,3.0,9.24,201.0,865.0,AH,0.44,3.1,0.0,0.0,0.0,-----,<5.46,11.1,360.0,-----,12.8,0.0,0.0,,0.0627,0.0555,0.141,0.175,0.0,0.0,118.01,122.09,0.0,0.0,0.0,0.0,0.0,0.4,,0.03,0.0,0.024,41.65,43.312,0.0882,0.078,,0.0,,-----,0.0,0.0022,0.0,0.0,,0.0,0.0,,0.045,0.027,2.55,,,,,,
