Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,CL   ,F    ,TOC ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Hg LL,Benzene,Ethylbenzene,Toluene,o-Xylene,m- and/or p-Xylenes,Xylenes (total)
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L,Qual Code, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,Qual Code, mg/L,mg/L,Qual Code,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   ,Qaul Code, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,Qual Code,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,Qual Code,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-06 00:00:00,WW_12,6.0,22.5,7.5,0.128,0.13,1.2,0.1,,55.48,656.0,27.0,6.0,11.2,210.0,180.0,,0.2,7.7,,<5,<0.005,<0.0010,,<1.80,2.8,140.0,,15.9,,<0.05,<0.02,0.0452,0.0393,0.085,0.08,<0.001,<0.001,69.55,64.35,<0.01,<0.003,<10,<0.02,<0.005,0.88,<0.2,<0.03,<0.03,29.72,27.69,0.1195,0.0127,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,7.7,AS,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-06 00:00:00,WW_13,4.5,21.3,7.87,3.012,0.12,1.12,0.37,,46.4,616.0,23.0,5.0,6.82,223.0,144.0,,0.27,7.0,,<5,<0.005,<0.0010,,<1.60,2.4,110.0,110.0,14.8,,<0.05,0.022,0.0404,0.0348,0.095,0.1,<0.001,<0.001,72.73,67.25,<0.01,<0.003,<10,<0.02,<0.005,0.8,<0.2,<0.03,<0.03,33.19,30.93,0.0869,0.0304,,<0.2,,<0.008,<0.008,0.007,<0.03,<0.004,0.0013,<0.06,<0.02,5.6,AS,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-06 00:00:00,WW_78,7.4,18.7,7.92,8.682,0.31,1.31,0.4,,97.11,874.0,<4,1.0,1.3,223.0,232.0,,0.58,4.6,,<5,<0.005,<0.0010,,<2.20,4.2,50.0,,3.8,,<0.05,<0.02,0.0371,0.0356,0.19,0.19,<0.001,<0.001,95.03,89.44,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,36.27,34.63,0.0267,0.0202,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0019,<0.06,<0.02,5.0,AS,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-06 00:00:00,WW_17,7.2,22.7,7.99,2.708,<0.10,1.15,0.38,,47.07,624.0,25.0,6.0,6.48,223.0,155.0,,0.27,6.6,,<5,<0.005,<0.0010,,<2.10,2.5,450.0,410.0,16.8,,<0.05,<0.02,0.0425,0.0375,0.096,0.1,<0.001,<0.001,72.02,67.34,<0.01,<0.003,<10,<0.02,<0.005,0.69,<0.2,<0.03,<0.03,32.22,30.5,0.1094,0.0518,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,0.0014,<0.06,<0.02,4.8,AS,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-06 00:00:00,WW_19,6.5,22.9,7.98,2.918,<0.10,1.13,0.34,,51.75,636.0,27.0,5.0,4.63,222.0,161.0,,0.29,6.8,,<5,<0.005,<0.0010,,<2.20,2.6,300.0,200.0,17.6,,<0.05,0.021,0.0448,0.0367,0.101,0.1,<0.001,<0.001,76.06,68.08,0.036,<0.003,<10,<0.02,0.0062,1.2,<0.2,<0.03,<0.03,33.15,30.75,0.3951,0.3165,,<0.2,,0.0285,0.025,<0.005,<0.03,<0.004,0.0014,0.066,0.032,3.7,AS,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-06 00:00:00,WW_20,6.7,23.4,7.94,2.62,<0.10,1.13,0.34,,48.26,620.0,23.0,6.0,7.73,221.0,160.0,,0.28,6.5,,<5,<0.005,<0.0010,,<1.90,2.4,230.0,220.0,19.9,,<0.05,<0.02,0.0424,0.0371,0.097,0.1,<0.001,<0.001,72.75,67.59,<0.01,<0.003,<10,<0.02,<0.005,0.72,<0.2,<0.03,<0.03,32.18,30.01,0.0921,0.0433,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,0.0013,<0.06,<0.02,4.6,AS,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-06 00:00:00,WW_24,7.2,21.5,7.37,5.125,0.18,1.22,0.8,,62.63,678.0,23.0,4.0,6.0,170.0,202.0,,0.35,5.7,,<5,<0.005,<0.0010,,<1.90,3.4,230.0,,2.7,,<0.05,<0.02,0.0385,0.0327,0.155,0.15,<0.001,<0.001,68.21,62.23,<0.01,<0.003,<10,<0.02,<0.005,0.68,<0.2,<0.03,<0.03,27.49,25.19,0.0762,0.0458,,<0.2,,<0.008,0.008,<0.005,<0.03,<0.004,0.0012,<0.06,<0.02,0.97,AS,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-06 00:00:00,WW_109,6.7,20.8,7.84,3.953,0.13,1.12,0.62,,54.26,626.0,23.0,6.0,6.81,161.0,185.0,,0.32,5.7,,<5,<0.005,0.0017,,2.8,2.2,600.0,,7.0,,<0.05,<0.02,0.038,0.0321,0.152,0.15,<0.001,<0.001,62.25,57.5,<0.01,<0.003,<10,<0.02,<0.005,0.85,<0.2,<0.03,<0.03,24.79,22.87,0.0623,0.0329,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0011,<0.06,<0.02,<0.5,AS,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-06 00:00:00,WW_22,6.9,21.7,7.94,2.849,<0.10,1.2,0.36,,51.75,630.0,20.0,4.0,5.98,204.0,170.0,,0.27,6.3,,<5,<0.005,<0.0010,,<1.90,3.0,280.0,220.0,11.9,,<0.05,<0.02,0.0415,0.0368,0.112,0.11,<0.001,<0.001,70.66,65.2,<0.01,<0.003,<10,<0.02,<0.005,0.63,<0.2,<0.03,<0.03,30.4,28.27,0.0595,0.0224,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,0.75,AS,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-06 00:00:00,WW_23,7.4,22.0,7.92,3.038,<0.10,1.08,0.42,,50.72,626.0,24.0,5.0,8.01,205.0,164.0,,0.29,6.5,,<5,<0.005,<0.0010,,<2.00,2.9,330.0,300.0,13.7,,<0.05,<0.02,0.0427,0.0363,0.113,0.11,<0.001,<0.001,72.28,64.68,<0.01,<0.003,<10,<0.02,<0.005,0.74,<0.2,<0.03,<0.03,30.91,28.03,0.0888,0.0237,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,0.0014,<0.06,<0.02,0.71,AS,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
