Owner,NPDES Permit #,Outfall #,Location,Size,Waterway,TARP Connection,Monitored or Unmonitored,
Chicago,IL0028088,101,Sheridan Rd (Wilmette P.S.) (W),8' x 7',NSC,DS-M114N,M,
Chicago,IL0045012,39,Birchwood Ave (E),7',NSC,DS-M99,U,
Chicago,IL0045012,1,Touhy Ave (E),6',NSC,DS-M98,U,
Chicago,IL0045012,2,Pratt Ave (E),13' x 13',NSC,DS-M97,M,
Chicago,IL0045012,3,North Shore Ave (E),3',NSC,DS-M97,M,
Chicago,IL0045012,4,Devon Ave (W),7.5',NSC,I-95,U,
Chicago,IL0045012,5,Devon Ave (E),6',NSC,DS-M96,U,
Chicago,IL0045012,6,Peterson Ave (E),5',NSC,DS-M95,U,
Chicago,IL0045012,7,Peterson Ave (W),5.5',NSC,I-94,U,
Chicago,IL0045012,8,Thorndale Ave (W),4.5',NSC,I-93,U,
Chicago,IL0045012,9,Ardmore Ave (W),2.75',NSC,I-92,U,
Chicago,IL0045012,10,Ardmore Ave (E),7' x 5.6',NSC,TG-M94,M,
Chicago,IL0045012,11,Bryn Mawr Ave (E),4.75',NSC,DS-M93,U,
Chicago,IL0045012,12,Bryn Mawr Ave (W),5.5',NSC,I-91,U,
Chicago,IL0045012,13,Balmoral Ave (E),3',NSC,DS-M92,U,
Chicago,IL0045012,38,Berwyn Ave (W),6',NSC,I-116,U,
Chicago,IL0045012,233,Berwyn Ave (E),5.5',NSC,DS-M92,U,
Chicago,IL0045012,14,Foster Ave (W),3.5',NSC,I-89,U,
Chicago,IL0045012,15,Foster Ave (E),1.25',NSC,DS-M92,U,
Chicago,Not Permitted,NP,Fargo Ave at Nordica Ave (W),4',NBCR,DS-N15,U,
Niles / Chicago,ILM580035 / IL0045012,008 / 236,6872 Touhy Ave  (Franks &amp; Nieman) (W),5',NBCR,DS-N13R,M,
Chicago,IL0045012,17,Imlay St &amp; Milwaukee (W),7',NBCR,DS-N10B,M,
Chicago,IL0045012,16,Wildwood Ave ext. (Caldwell &amp; Tonty) (E),4.5',NBCR,DS-N10A,M,
Chicago,IL0045012,18,Miami Ave (Indian &amp; Monitor) (W),2.5',NBCR,DS-N09,M,
Chicago,IL0045012,19,Peterson Ave (W),1.25',NBCR,DS-N08,U,
Chicago,IL0045012,20,Mango Ave ext. (Leonard &amp; Miltmore) (W),9.5',NBCR,DS-N08,M,
Chicago,IL0045012,21,Central Ave (5900 - 6100 North) (N),2.5',NBCR,DS-N07,M,
Chicago,IL0045012,22,Linder Ave (W),18“,NBCR,DS-N06,U,
Chicago,IL0045012,234,Ardmore Ave (Indian &amp; Ardmore)  (W),2' &amp; 2.5',NBCR,DS-N06,M,
Chicago,IL0045012,24,"Forest Glen Ave (S), West of Cicero",6',NBCR,DS-N05,M,
Chicago,IL0045012,25,Lamon Ave (S),1.5',NBCR,DS-N05,U,
Chicago,IL0045012,23,Forest Glen Ave (N),1.25',NBCR,Indirect (DS-,U,
Chicago,IL0045012,26,"Cicero Ave (N), South of Forest Glen",4',NBCR,DS-N04,M,
Chicago,IL0045012,28,Kenton Ave (N),2.25',NBCR,Indirect (DS-,U,
Chicago,IL0045012,29,Kilbourn Ave &amp; Bryn Mawr (N),7',NBCR,DS-N03,M,
Chicago,IL0045012,30,Foster Ave &amp; Keeler (W),6.5',NBCR,DS-N02,M,
Chicago,IL0045012,235,Trumbull Ave (N) (Bernard),1',NBCR,DS-N01,U,
Chicago,IL0045012,34,St. Louis Ave (N),2.5',NBCR,DS-N01,U,
Chicago,IL0045012,40,Argyle St (W),6',NBCR,I-88,U,
Chicago,IL0045012,35,Kedzie Ave (S),1.25',NBCR,I-88,U,
Chicago,IL0045012,42,Lawrence Ave (W),15.5' x 19.5' Tunnel,NBCR,DS-LAT,M,
Chicago,IL0045012,41,Lawrence Ave (W),5',NBCR,I-87,U,
Chicago,IL0045012,43,Giddings St (W),1',NBCR,I-86,U,
Chicago,IL0045012,44,Leland Ave (W),1.25',NBCR,I-85,U,
Chicago,IL0045012,45,Leland Ave (E),1.5',NBCR,I-84,U,
Chicago,IL0045012,46,Wilson Ave (E),2.5',NBCR,I-82,U,
Chicago,IL0045012,47,Wilson Ave (W),3.5',NBCR,I-83,U,
Chicago,IL0045012,48,Sunnyside Ave (E),1.5',NBCR,I-81,U,
Chicago,IL0045012,49,Sunnyside Ave (W),6',NBCR,I-80,U,
Chicago,IL0045012,50,Agatite Ave (E),1',NBCR,I-79A,U,
Chicago,IL0045012,51,Montrose Ave (E),6',NBCR,DS-M89,U,
Chicago,IL0045012,52,Montrose Ave (W),6',NBCR,I-78,U,
Chicago,IL0045012,57,Berteau Ave (W),14.5' x 10.5',NBCR,DS-M88,M,
Chicago,IL0045012,58,Irving Park Rd (E),6',NBCR,DS-M87,U,
Chicago,IL0045012,59,Irving Park Rd (W),6',NBCR,I-77,U,
Chicago,IL0045012,60,Grace St (W),1.5',NBCR,Indirect (DS-M90),U,
Chicago,IL0045012,231,"Grace St (W), North of DS-M86",12' x 12',NBCR,DS-M86,M,
Chicago,IL0045012,62,Addison St (W),5.5',NBCR,I-76,U,
Chicago,IL0045012,61,Addison St (Inside ComEd's property) (E),12' x 9.58',NBCR,DS-M85,M,
Chicago,IL0045012,63,Roscoe St (W),4 (8' x 8'),NBCR,DS-M84,M,
Chicago,IL0045012,238,Melrose St &amp; North Rockwell St (W),4.5',NBCR,DS-M83,M,
Chicago,IL0045012,64,Belmont Ave (W),7',NBCR,DS-M82,M,
Chicago,IL0045012,65,Western Ave East Bank (N),6',NBCR,TG-M81,M,
Chicago,IL0045012,66,Oakley Ave East Bank (E),2',NBCR,DS-M80,U,
Chicago,IL0045012,67,"Leavitt St East Bank (N), Southwest of DS-M80",12' x 12',NBCR,DS-M80,M,
Chicago,IL0045012,68,Diversey Ave (W),7.5',NBCR,DS-M79,M,
Chicago,IL0045012,69,Diversey Ave (E),5.5',NBCR,DS-M78,U,
Chicago,IL0045012,70,Logan Blvd (W),2 (14' x 8'),NBCR,DS-M79,M,
Chicago,IL0045012,72,Damen Ave West Bank (S),1',NBCR,DS-M77,U,
Chicago,IL0045012,73,Fullerton Ave (W),6',NBCR,DS-M76,M,
Chicago,IL0045012,-74 Storm,Fullerton Ave (E),12',NBCR,DS-M75,M,
Chicago,IL0045012,75,Ashland Ave East Bank (N),2',NBCR,I-75,U,
Chicago,IL0045012,76,Webster Ave (E),4',NBCR,I-75,U,
Chicago,IL0045012,77,McLean Ave (W),9',NBCR,DS-M73,M,
Chicago,IL0045012,78,McLean Ave (E),2.25',NBCR,I-74,U,
Chicago,IL0045012,79,Cortland St (W),2',NBCR,I-73,U,
Chicago,IL0045012,80,Cortland St (E),4',NBCR,I-72,U,
Chicago,IL0045012,81,Clifton Ave (E),2.5',NBCR,DS-M72,U,
Chicago,IL0045012,82,North Ave (W),6',NBCR,TG-M71,M,
Chicago,IL0045012,83,North Ave (E),4.5',NBCR,DS-M70,M,
Chicago,IL0045012,84,Blackhawk St (W),16.5' x 11',NBCR,DS-M66,M,
Chicago,IL0045012,85,Blackhawk St (E),3.5',NBCR,DS-M69,U,
Chicago,IL0045012,86,Eastman St (E),3',NBCR,I-71,U,
Chicago,IL0045012,87,Division St (W),5',NBCR,I-70,U,
Chicago,IL0045012,88,Division St (E),3',NBCR,DS-M65,U,
Chicago,IL0045012,89,Division St (W),1.25',NBCR,DS-M65,U,
Chicago,IL0045012,90,Halsted St (E),3',NBCR,DS-M67R,U,
Chicago,IL0045012,91,Halsted St (W),2',NBCR,I-68B,U,
Chicago,IL0045012,92,Cortez St &amp; Elston (1030 N. Elston) (W),11' x 9',NBCR,DS-M64,M,
Chicago,IL0045012,93,Cortez St (W),3.5',NBCR,DS-M64,U,
Chicago,IL0045012,230,Hobbie St (E),13' x 9.25',NBCR,DS-M67R,U,
Chicago,IL0045012,94,Haines St (E),1.5',NBCR,I-68A,U,
Chicago,IL0045012,95,Halsted St (N),2',NBCR,DS-M63,U,
Chicago,IL0045012,237,Halsted St (S),2',NBCR,I-67,U,
Chicago,IL0045012,96,Chicago Ave (W),3',NBCR,I-67,U,
Chicago,IL0045012,97,Chicago Ave (E),4',NBCR,I-66,U,
Chicago,IL0045012,98,Erie St (W),3',NBCR,I-65(A&amp;B),U,
Chicago,IL0045012,99,Erie St (E),4',NBCR,I-64,U,
Chicago,IL0045012,100,Grand Ave (W),4',NBCR,I-63,U,
Chicago,IL0045012,101,Kinzie St (W),6',NBCR,I-62,U,
Chicago,IL0045012,103,Fulton St &amp; Canal St (W),2 ( 7' x 9.5'),NBCR,DS-M61A,M,
Chicago,IL0045012,104,Lake Shore Dr (N),3',CR,DS-M59,U,
Chicago,IL0045012,105,Fairbanks Ct. (St. Clair) (N),5.5',CR,DS-M60,U,
Chicago,IL0045012,106,Beaubien Ct (St. Clair Street) (N),9' x 8',CR,TG-M60,M,
Chicago,IL0045012,108,St. Clair St (Beaubien Ct) (N),2',CR,Indirect (DS-M60),U,
Chicago,IL0045012,107,Michigan Ave (S),7',CR,DS-M55,M,
Chicago,IL0045012,109,Michigan Ave (S),4',CR,I-59,U,
Chicago,IL0045012,114,Dearborn St  &amp; Lower Wacker,3',CR,I-53,U,
Chicago,IL0045012,110,Rush St. (N),5',CR,I-58,U,
Chicago,IL0045012,111,Wabash Ave (S),3',CR,I-56,U,
Chicago,IL0045012,112,State St (S),3',CR,I-55,U,
Chicago,IL0045012,113,Dearborn St (N),2',CR,I-54,U,
Chicago,IL0045012,115,Clark St (N),6',CR,I-52,U,
Chicago,IL0045012,116,Clark St (S),3',CR,I-51,U,
Chicago,IL0045012,117,LaSalle St (N),2 (1.25'),CR,I-49 &amp; I-50,U,
Chicago,IL0045012,118,LaSalle St (S),3',CR,I-48,U,
Chicago,IL0045012,119,Wells St (N),5' X 7',CR,I-47A &amp; I-47B,U,
Chicago,IL0045012,120,Wells St (S),3',CR,I-46,U,
Chicago,IL0045012,121,Franklin St (S),3',CR,DS-M54,M,
Chicago,IL0045012,123,Randolph St (E),10' X 9.5',SBCR,I-44 &amp; I-45,U,
Chicago,IL0045012,124,Washington St (E),,3',SBCR,I-44,U
Chicago,IL0045012,125,Washington St (W),,12' X 9',SBCR,Indirect (TG-M53),M
Chicago,IL0045012,126,Madison St (E),,3',SBCR,I-42,U
Chicago,IL0045012,127,Monroe St (E),,2 (3.5' X 4'),SBCR,I-41,U
Chicago,IL0045012,129,Quincy St &amp; Lower W (E),acker Dr,9' x 7.17',SBCR,DS-M52,M
Chicago,IL0045012,128,Adams St (E),,3',SBCR,I-39,U
Chicago,IL0045012,130,Jackson Blvd (E),,3',SBCR,I-38,U
Chicago,IL0045012,131,Van Buren St (E),,3',SBCR,I-35,U
Chicago,IL0045012,132,Harrison St (W),,5',SBCR,DS-M51,M
Chicago,IL0045012,133,Harrison St (E),,3',SBCR,I-33,U
Chicago,IL0045012,134,Polk St (W),,3.42' x 4.5',SBCR,TG-I32,M
Chicago,IL0045012,137,Taylor St (E),,8',SBCR,DS-M50,U
Chicago,IL0045012,136,Taylor St (W),5.5' x 4.33',SBCR,TG-I28 &amp; I29,M,
Chicago,IL0045012,138,Roosevelt Rd (Roosevelt &amp; Lumber) (W),4.33' x 5.5',SBCR,DS-M49,M,
Chicago,IL0045012,139,Roosevelt Rd (E),3',SBCR,DS-M48,U,
Chicago,IL0045012,140,Maxwell St (Maxwell &amp; Lumber) (W),5',SBCR,DS-M47,M,
Chicago,IL0045012,141,14th St (W),4',SBCR,DS-M46,U,
Chicago,IL0045012,143,14th St (E),8' x 6.75',SBCR,DS-M45,M,
Chicago,IL0045012,144,15th St (E),3',SBCR,DS-M44,U,
Chicago,IL0045012,145,16th St (W),4',SBCR,DS-M43,U,
Chicago,IL0045012,146,16th St (E),3',SBCR,I-25,U,
Chicago,IL0045012,148,18th St (E),3',SBCR,I-24,U,
Chicago,IL0045012,147,18th St (W),4',SBCR,DS-M42,U,
Chicago,IL0045012,149,19th St (E),3',SBCR,I-23,U,
