,ag_sol(mg/l),ag_tot(mg/l),alk(mg/l),as_sol(mg/l),as_tot(mg/l),b_sol(mg/l),b_tot(mg/l),ba_sol(mg/l),ba_tot(mg/l),benzene(ug/l),ca_sol(mg/l),ca_tot(mg/l),cd_sol(mg/l),cd_tot(mg/l),chloroph(yll_a),cl(mg/l),cn(mg/l),cn_wad(mg/l),collect(date),cr6(ug/l),cr_sol(mg/l),cr_tot(mg/l),cu_sol(mg/l),cu_tot(mg/l),do(mg/l),e_coli(cts/100ml),ethylbenzene(ug/l),f(mg/l),fe_sol(mg/l),fe_tot(mg/l),fec_col(cts/100ml),fog(mg/l),hg_ll(ng/l),hg_sol(ug/l),hg_tot(ug/l),m__and/or_p_xylenes(ug/l),mg_sol(mg/l),mg_tot(mg/l),mn_sol(mg/l),mn_tot(mg/l),nh3_n(mg/l),ni_sol(mg/l),ni_tot(mg/l),no2+no3(mg/l),o_xylene(ug/l),pb_sol(mg/l),pb_tot(mg/l),ph(),phenol(ug/l),radiochem(alpha),radiochem(beta),sampling(point),se_sol(mg/l),se_tot(mg/l),so4(mg/l),ss(mg/l),tds(mg/l),temp(deg_c),tkn(mg/l),toc(mg/l),toluene(ug/l),tot_p(mg/l),turb(ntu),vss(mg/l),xylenes(total)(ug/l),xylenes_(total)(ug/l),zn_sol(mg/l),zn_tot(mg/l),location_description,north_latitude,west_longitude
0,0.0,0.0,206.0,0.0,0.0,0.091,0.09,0.0433,0.045,,92.99,90.5,0.0006,0.0,44.3,283.1,0.002,0.001,2005-01-03 00:00:00,3.0,0.0008,0.0,0.0,0.016,12.4,140.0,,0.14,0.051,0.628,140.0,,,0.0,0.11,,42.621,40.11,0.0665,0.1187,0.24,0.0,0.002,0.35,,0.0,0.004,na,10.0,<4.71,5.98,ww_12,0.005,0.013999999999999999,116.44,10.0,826.0,na,1.03,12.0,,0.07,13.1,5.0,,,0.0107,0.029,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
1,0.0,0.0,205.0,0.0,0.0,0.07400000000000001,0.08199999999999999,0.047,0.0584,0.0,90.61,96.61,0.0007,0.0,18.7,520.6,0.006,0.0021,2005-02-07 00:00:00,3.0,0.0,0.0,0.0,0.02,12.5,,0.0,0.1,0.031,1.5390000000000001,160.0,,,,0.0,0.0,39.945,42.08,0.1277,0.1823,0.18,0.0,0.002,0.9570000000000001,0.0,0.0026,0.009000000000000001,7.1,7.0,<9.20,<8.27,ww_12,0.018000000000000002,0.019,110.14,35.0,1214.0,3.0,1.41,8.0,0.0,0.35,25.9,7.0,0.0,,0.0171,0.06,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
2,0.0,0.0,216.0,0.0,0.0,0.063,0.071,0.0441,0.0508,,88.69,91.53,0.0,0.0,20.1,454.4,0.003,0.0006,2005-03-07 00:00:00,0.0,0.0,0.0,0.0,0.016,10.2,,,0.15,0.013000000000000001,0.8220000000000001,40.0,,,,0.0,,40.349000000000004,41.16,0.0903,0.1186,0.06,0.0,0.003,0.503,,0.0039,0.009000000000000001,8.13,4.0,<3.96,4.44,ww_12,0.006999999999999999,0.0,111.97,18.0,1152.0,6.2,0.91,13.0,,0.1,19.5,3.0,,,0.0147,0.047,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
3,0.0,0.0,206.0,0.0,0.0,0.08199999999999999,0.086,0.0475,0.0521,0.0,87.35,90.77,0.0,0.0008,32.6,399.5,0.002,0.0009,2005-04-04 00:00:00,0.0,0.0008,0.0,0.0,0.009000000000000001,11.3,40.0,0.0,0.13,0.016,0.82,40.0,,,,0.0,0.0,39.016999999999996,40.17,0.0463,0.1375,0.04,0.0,0.003,0.23399999999999999,0.0,0.0037,0.006,8.02,4.0,<4.97,6.69,ww_12,0.0,0.0,105.69,29.0,1012.0,14.6,0.93,8.0,0.0,0.0,22.5,10.0,0.0,,0.0062,0.031,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
4,0.0,0.0,207.0,0.0,0.0,0.136,0.151,0.0536,0.062,0.0,75.27,87.65,0.0009,0.0014,14.6,346.8,0.0,0.0004,2005-06-06 00:00:00,2.0,0.0,0.0,0.0,0.024,6.2,,0.0,0.24,0.022000000000000002,0.359,1000.0,,,,0.0,0.0,37.704,43.27,0.177,0.2219,0.24,0.0,0.003,0.157,0.0,0.0,0.0,7.25,9.0,<4.33,6.18,ww_12,0.0,0.013999999999999999,107.06,7.0,1050.0,24.0,1.32,11.0,0.0,0.07,5.35,0.0,0.0,,0.0036,0.016,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
5,0.0,0.0,176.0,0.0,0.006,0.17,0.17300000000000001,0.057,0.0688,,70.37,76.17,0.0006,0.0013,50.9,340.5,0.002,0.0002,2005-07-05 00:00:00,2.0,0.0,0.0,0.0,0.015,5.9,11000.0,,0.23,0.019,1.5490000000000002,28000.0,,,,0.0,,39.192,41.85,0.0502,0.2298,0.04,0.0,0.003,0.059000000000000004,,0.0012,0.005,7.63,6.0,<4.54,8.01,ww_12,0.004,0.0,125.95,35.0,1006.0,22.5,2.03,8.4,,0.2,19.3,17.0,,,0.0055,0.031,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
6,0.0,0.0,165.0,0.0,0.0,0.092,0.09699999999999999,0.0382,0.0538,,54.16,65.31,0.0,0.0,38.1,264.8,0.0,0.0,2005-11-07 00:00:00,0.0,0.0,0.0,0.0,0.11599999999999999,10.0,,,0.2,0.016,1.8419999999999999,760.0,,,,0.0,,26.296999999999997,29.48,0.0199,0.1343,0.21,0.0,0.006999999999999999,0.239,,0.0,0.0,6.92,3.0,<5.52,6.57,ww_12,0.0,0.005,81.36,33.0,698.0,10.6,1.88,7.3,,0.13,38.6,6.0,,,0.001,0.025,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
7,0.0,0.0,177.0,0.0,0.006,0.083,0.086,0.0448,0.0549,,72.66,85.02,0.0,0.0,17.0,482.1,0.0,0.0006,2006-01-03 00:00:00,0.0,0.001,0.0,0.0,0.002,11.6,320.0,,0.19,0.027000000000000003,0.696,270.0,,,,0.0,,32.48,36.13,0.0684,0.1059,0.29,0.0,0.0,0.7390000000000001,,0.0,0.005,7.01,8.0,<6.00,8.01,ww_12,0.0,0.005,131.77,19.0,1180.0,3.7,1.18,4.4,,0.08,17.3,11.0,,,0.006,0.011000000000000001,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
8,0.0,0.0,191.0,0.0,0.0,0.095,0.098,0.0499,0.0527,0.0,96.83,97.79,0.0011,0.0,25.0,411.6,0.0,0.0005,2006-02-06 00:00:00,4.0,0.001,0.002,0.0,0.0,10.3,,0.0,0.18,0.022000000000000002,0.6940000000000001,20.0,,3.2,,0.0,0.0,43.1,42.19,0.0587,0.0969,0.0,0.0,0.0,1.605,0.0,0.001,0.005,7.6,0.0,4.97,6.71,ww_12,0.0,0.0,197.43,31.0,1052.0,1.0,1.15,5.1,0.0,0.09,24.3,5.0,,0.0,0.006,0.01,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
9,0.0,0.0,142.0,0.0,0.0,0.055999999999999994,0.061,0.0314,0.0441,<2,58.81,70.42,0.0,0.0,32.6,250.1,0.0,0.0008,2006-04-03 00:00:00,*0,0.002,0.0035,0.0,0.006,10.5,600.0,<2,0.16,0.026000000000000002,2.09,610.0,,6.8,,0.0,<3,26.112,30.42,0.0306,0.1237,0.06,0.0,0.003,0.765,<2,0.0016,0.009000000000000001,*9.10,0.0,<5.11,8.5,ww_12,0.0,0.0,98.88,60.0,738.0,*7.5,1.47,5.2,<2,0.18,47.7,11.0,,<2,0.0111,0.024,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
