010,TG-M94,Ardmore/ (E),1 – Chicago
002,DS-M97,Pratt Ave./ (E),1 – Chicago
003,DS-M97,North Shore Ave./ (E),1 – Chicago
A13,DS-M101,Mulford St./ (E),1 – Evanston
010,DS-M104E,Main St./ (E),1 – Evanston
009,TG-M105E,Greenleaf St./ (E),1 – Evanston
A07,DS-M107-2,Emerson St./ (W),1 – Evanston
A04,DS-M109S,Green Bay Rd. & McCormick Blvd./ (W),1 – Evanston
105,DS-M100,Howard Street/ (W),1 – MWRD
104,DS-M106E,Lake St./ (E),1 – MWRD
102,DS-M109N,Green Bay & McCormick/ (W),1 – MWRD
101,DS-M114N,(Wilmette PS) Sheridan Rd. (W),1 – MWRD
005,DS-M104W,Main St./ (W),1 – Skokie
002,DS-M105W,Greenwood & McCormick Blvd./ (W),1 – Skokie
003,DS-M107-1,Emerson/ (W),1 – Skokie
001,DS-M114N-2,Sheridan Rd./ (W),1 – Wilmette
073,DS-M76,Fullerton/ (W),1 – Chicago
068,DS-M79,Diversey/ (W),1 – Chicago
070,DS-M79,Logan/ S of Diversey/ (W),1 – Chicago
067,DS-M80,Leavitt St. (NE)/ SW of DS-M80,1 – Chicago
065,TG-M81,Western Ave./ (NE),1 – Chicago
064,DS-M82,Belmont Ave./ (W),1 – Chicago
238,DS-M83,Melrose St. & Rockwell St./ (W),1 – Chicago
063,DS-M84,Roscoe St./ (W),1 – Chicago
061,DS-M85,Addison St./ (E)/ (Inside ComEd's property),1 – Chicago
231,DS-M86,Grace St./ (W)/ N of DS-M86,1 – Chicago
057,DS-M88,Berteau Ave./ (W),1 – Chicago
042,DS-LAT,Lawrence Ave./ (W),1 – Chicago
030,DS-N02,Foster Ave. and Keeler/ (W),1 – Chicago
029,DS-N03,Bryn Mawr and Kilbourn Ave./ (N),1 – Chicago
026,DS-N04,Cicero/ S. of Forest Glen/ (N),1 – Chicago
024,DS-N05,Forest Glen Ave./ W of Cicero (S),1 – Chicago
234,DS-N06,Ardmore Ave. (Indian and Ardmore)/ (W),1 – Chicago
021,DS-N07,Central Ave./ (N)/ (5900-6100 North),1 – Chicago
020,DS-N08,Mango Ave. (Ext.)/ (W) (Leonard & Miltmore),1 – Chicago
018,DS-N09,Miami Ave./ (W) (Indian & Monitor),1 – Chicago
016,DS-N10A,Wildwood Ave. (Ext.)/ (E) (Caldwell & Tonty),1 – Chicago
017,DS-N10B,Imlay St. & Milwaukee Ave./ (W),1 – Chicago
236,DS-N13R,Franks and Nieman/ (W),1 – Chicago
107,DS-M90 & DS-M91,North Branch Pump Station (NBPS) (E),1 – MWRD
002,DS-N19,Dempster and Lincoln/ (E),1 – Morton Grove
009,DS-N11,Forestview Lane & Riverside Dr./ (W) (East of Milwaukee),1 – Niles
010,DS-N12,Caldwell & Touhy Ave./ (E) (Harts & Touhy),1 – Niles
008,DS-N13R,Franks and Nieman/ (W) (6872 Touhy),1 – Niles
003,DS-N16,Nordica and Dobson/ (W),1 – Niles
