collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),bod(mg/l),cbod(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes(total)(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l)
2005-02-07 00:00:00,ww_12,12.5,3.0,7.1,0.957,0.18,1.41,0.35,110.14,1214.0,35.0,7.0,25.9,205.0,520.6,0.1,8.0,7.0,0.006,0.0021,,,,<9.20,<8.27,160.0,,18.7,0.0,0.0,0.0584,0.047,0.082,0.074,0.0,0.0007,96.61,90.61,0.0,0.0,3.0,0.02,0.0,1.539,0.031,0.009,0.0026,42.08,39.945,0.1823,0.1277,0.0,,0.002,0.0,0.019,0.018,0.0,0.0,0.06,0.0171,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-07 00:00:00,ww_13,10.9,6.3,7.3,4.139,0.34,1.92,0.68,88.43,1045.0,29.0,6.0,18.0,206.0,405.3,0.24,10.0,6.0,0.003,0.0022,,,,<6.96,9.15,850.0,,9.9,0.0,0.0,0.0463,0.0417,0.123,0.12,0.0,0.0,84.64,83.61,0.0,0.0,3.0,0.014,0.0,0.738,0.03,0.004,0.0,37.73,37.675,0.09,0.0692,0.0,,0.002,0.0,0.018,0.009,0.0,0.0,0.036,0.0182,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-07 00:00:00,ww_77,11.5,3.0,7.0,0.928,0.18,1.02,0.14,51.92,1576.0,25.0,8.0,38.1,115.0,529.5,0.11,10.0,11.0,0.007,0.0017,,,,<11.24,<10.84,510.0,,9.2,0.0,0.0,0.0652,0.0554,0.055,0.051,0.0,0.0003,70.31,65.57,0.0,0.001,2.0,0.017,0.0,1.063,0.042,0.006,0.002,22.42,20.963,0.1168,0.0932,0.0,,0.002,0.0,0.018,0.008,0.0,0.0,0.074,0.0425,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-07 00:00:00,ww_78,10.3,10.0,7.1,8.637,0.17,1.99,1.11,93.58,1202.0,7.0,5.0,10.2,166.0,527.8,0.53,10.0,10.0,0.005,0.0013,,,,<6.95,13.7,530.0,,1.8,0.0,0.0,0.0387,0.0308,0.29,0.254,0.0,0.0,100.55,84.82,0.0,0.0011,3.0,0.016,0.0,0.335,0.048,0.003,0.0012,37.52,32.106,0.0412,0.0259,0.0,,0.013,0.01,0.014,0.006,0.0,0.0,0.07,0.0509,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-07 00:00:00,ww_17,10.8,5.6,7.2,3.76,0.33,1.44,0.53,401.07,1226.0,27.0,9.0,33.4,189.0,566.6,0.25,10.0,9.0,0.006,0.0013,,,,<7.25,10.38,690.0,,7.4,0.0,0.0,0.0536,0.0455,0.129,0.127,0.0,0.0,83.88,82.21,0.0,0.0,3.0,0.018,0.0,1.233,0.027,0.003,0.0022,35.31,34.459,0.1003,0.069,0.0,,0.003,0.0,0.01,0.008,0.0,0.0,0.046,0.021,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-07 00:00:00,ww_19,10.4,5.6,7.2,4.122,0.34,1.48,0.61,89.79,1320.0,48.0,7.0,38.2,177.0,311.9,0.27,9.0,8.0,0.005,0.0022,,,,<9.72,10.15,960.0,,7.0,0.0,0.0,0.056,0.0471,0.148,0.151,0.0,0.0,88.53,85.99,0.0,0.0011,3.0,0.017,0.0,1.377,0.024,0.006,0.0015,36.31,34.881,0.1031,0.0652,0.0,,0.004,0.002,0.01,0.002,0.0,0.0,0.065,0.0335,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-07 00:00:00,ww_20,10.1,5.9,7.2,4.769,0.33,1.36,0.66,94.32,1232.0,27.0,4.0,26.8,193.0,589.8,0.3,9.0,11.0,0.005,0.0022,,,,<6.97,10.71,1000.0,,5.5,0.0,0.0,0.0547,0.0474,0.165,0.167,0.0,0.0,88.5,86.76,0.0,0.0013,3.0,0.023,0.0,0.917,0.024,0.004,0.002,37.11,35.826,0.095,0.0673,0.0,,0.004,0.003,0.013,0.013,0.0,0.0,0.057,0.0298,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-07 00:00:00,ww_24,11.6,11.1,7.7,5.031,0.26,1.29,1.02,91.73,1364.0,31.0,4.0,29.7,168.0,396.9,0.31,8.0,5.0,0.005,0.0015,,,,<7.22,9.01,2600.0,2500.0,9.0,0.0,0.0,0.0488,0.0417,0.155,0.151,0.0,0.0,89.58,86.24,0.0,0.0031,2.0,0.02,0.002,1.065,0.208,0.004,0.0027,35.41,33.806,0.0686,0.0459,0.0,,0.003,0.002,0.015,0.004,0.0,0.0,0.046,0.0245,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-07 00:00:00,ww_109,10.1,9.0,7.6,5.578,0.19,1.49,1.39,89.14,1412.0,52.0,8.0,44.6,158.0,399.5,0.38,13.0,11.0,0.006,0.0013,,,,<7.39,11.34,3400.0,5100.0,12.0,0.0,0.0,0.0542,0.0401,0.169,0.169,0.0004,0.0,85.95,82.7,0.008,0.0012,3.0,0.029,0.002,1.751,0.031,0.007,0.0015,32.85,31.108,0.0823,0.0442,0.0,,0.005,0.002,0.009,0.008,0.0,0.0,0.084,0.0288,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-07 00:00:00,ww_22,9.3,8.8,7.7,5.095,0.29,1.28,0.85,91.64,1304.0,22.0,7.0,30.6,177.0,515.9,0.33,9.0,5.0,0.004,0.0012,,,,<6.86,9.38,2400.0,,8.1,0.0,0.0,0.0511,0.0431,0.206,0.17,0.0,0.0,85.97,83.1,0.0,0.0012,2.0,0.015,0.0,1.062,0.028,0.003,0.003,34.74,33.502,0.0783,0.0525,0.0,,0.005,0.003,0.016,0.016,0.0,0.0,0.054,0.0257,0.0,0.0,0.0,0.0,0.0,0.0
