collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes(total)(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l)
2005-10-03 00:00:00,ww_13,6.9,19.7,8.04,9.854,0.08,1.48,2.24,77.96,732.0,32.0,7.0,22.7,163.0,191.4,0.67,5.7,9.0,0.002,0.0004,,<4.69,16.23,560.0,,*49.4,0.0,0.0,0.0348,0.0276,0.276,0.226,0.0,0.0006,57.13,53.65,0.0,0.0,0.0,0.014,0.002,0.93,0.014,0.0,0.0037,24.19,23.097,0.0746,0.0254,0.0,,0.004,0.003,0.008,0.006,0.0,0.0,0.042,0.0214,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-03 00:00:00,ww_77,6.4,21.5,8.02,0.334,0.21,1.43,0.14,26.56,602.0,38.0,11.0,39.3,92.0,251.4,0.2,6.9,12.0,0.0,0.0,,<4.17,6.73,9100.0,8800.0,*15.3,0.0,0.0,0.0417,0.0342,0.073,0.053,0.0006,0.0,36.41,34.36,0.0,0.0009,0.0,0.016,0.002,1.071,0.075,0.002,0.0036,11.61,10.989,0.0986,0.0553,0.0,,0.003,0.002,0.004,0.011,0.0,0.0,0.037,0.0091,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-03 00:00:00,ww_78,8.0,22.2,7.7,6.376,0.37,1.71,1.2,88.41,608.0,3.0,0.0,2.21,160.0,148.7,1.1,6.0,9.0,0.003,0.0,,<4.20,15.47,440.0,390.0,*2.3,0.0,0.0,0.0173,0.0154,0.417,0.358,0.0004,0.0,55.44,57.64,0.0,0.0011,0.0,0.023,0.002,0.142,0.051,0.0,0.0048,19.23,20.225,0.0277,0.0209,0.0,,0.016,0.016,0.015,0.008,0.0,0.0,0.091,0.0784,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-03 00:00:00,ww_17,6.5,20.8,7.66,6.791,0.07,1.21,1.41,71.43,670.0,23.0,3.0,16.3,145.0,201.1,0.51,5.5,8.0,0.0,0.0,,<4.49,10.57,1000.0,,*3.6,0.007,0.0,0.0363,0.0285,0.226,0.186,0.0006,0.0,51.28,50.57,0.0,0.0,0.0,0.022,0.002,0.935,0.031,0.003,0.0,22.39,22.283,0.0826,0.0411,0.0,,0.004,0.002,0.016,0.009,0.0,0.0,0.067,0.0227,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-03 00:00:00,ww_19,5.4,21.2,7.59,4.673,0.09,1.06,0.92,62.79,552.0,33.0,4.0,23.7,125.0,155.5,0.55,5.5,8.0,0.0,0.0,,<3.93,9.77,5400.0,,*2.0,0.004,0.0,0.0362,0.0238,0.253,0.185,0.0008,0.0,51.69,43.54,0.004,0.0,0.0,0.017,0.002,1.128,0.027,0.004,0.0033,20.86,17.594,0.1073,0.0497,0.0,,0.008,0.007,0.0,0.0,0.0,0.0,0.099,0.0414,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-03 00:00:00,ww_20,5.5,21.5,7.63,3.552,0.12,1.05,0.74,55.05,460.0,42.0,7.0,35.8,110.0,135.4,0.44,5.2,7.0,0.0,0.0005,,<3.69,9.53,10000.0,,*2.3,0.0,0.0,0.0321,0.0219,0.197,0.166,0.0007,0.0,41.35,39.08,0.004,0.0,0.0,0.02,0.002,1.688,0.039,0.002,0.001,15.97,15.091,0.0675,0.0202,0.0,,0.006,0.004,0.0,0.0,0.0,0.0,0.058,0.0255,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-03 00:00:00,ww_24,6.6,21.2,8.16,4.755,0.19,1.57,1.1,48.7,434.0,69.0,9.0,65.4,81.0,131.1,0.38,4.8,3.0,0.0,0.0,,<3.59,12.2,15000.0,,*11.4,0.0,0.0,0.0326,0.0178,0.132,0.114,0.0008,0.0,37.1,33.82,0.005,0.0,0.0,0.024,0.003,2.268,0.035,0.004,0.0014,15.52,14.45,0.0757,0.0167,0.0,,0.005,0.003,0.0,0.0,0.0,0.0,0.047,0.0147,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-03 00:00:00,ww_109,5.9,21.0,8.12,2.77,0.13,1.41,0.78,37.81,330.0,87.0,10.0,79.8,67.0,96.3,0.26,4.4,10.0,0.0,0.0,,4.76,10.62,13000.0,,*9.8,0.0,0.0,0.0294,0.0144,0.116,0.101,0.0006,0.0,28.86,26.19,0.011,0.0044,0.0,0.022,0.002,2.641,0.071,0.006,0.0026,11.67,10.539,0.0747,0.0158,0.0,,0.005,0.0,0.003,0.0,0.0,0.0,0.045,0.0115,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-03 00:00:00,ww_22,6.3,21.3,8.03,3.839,0.15,1.48,0.96,49.38,432.0,84.0,12.0,78.2,92.0,121.3,0.37,4.5,8.0,0.0,0.0,,<3.60,11.69,28000.0,,*5.9,0.0,0.0,0.0344,0.0187,0.17,0.144,0.0006,0.0,38.65,33.94,0.008,0.0026,0.0,0.029,0.002,2.537,0.03,0.007,0.0016,15.41,13.819,0.0748,0.0095,0.0,,0.006,0.003,0.0,0.005,0.0,0.0,0.061,0.0164,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-03 00:00:00,ww_23,6.4,21.2,8.01,3.94,0.15,1.31,0.84,49.65,448.0,30.0,3.0,33.1,94.0,129.1,0.44,4.7,8.0,0.0,0.0,,<3.50,9.08,21000.0,,*3.7,0.006,0.0,0.029,0.0196,0.209,0.171,0.0005,0.0,37.07,33.49,0.041,0.0348,21.0,0.021,0.003,0.913,0.023,0.004,0.0031,14.46,13.543,0.0399,0.0165,0.0,,0.005,0.003,0.012,0.01,0.0,0.0,0.043,0.0168,0.0,0.0,0.0,0.0,0.0,0.0
