collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2007-04-02 00:00:00,ww_12,8.9,10.0,8.21,0.322,0.1,1.29,0.1,0.55,954.0,33.0,8.0,20.7,205.0,317.5,0.16,5.3,3.0,0.0,0.0013,,<6.42,5.73,170.0,160.0,30.2,0.0,0.0,0.0454,0.0414,0.078,0.083,0.0,0.0003,83.89,81.82,0.0014,0.0008,0.0,0.0,0.0,1.13,0.032,0.0,0.0,34.65,35.021,0.1037,0.0446,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.018,0.01,5.34,<2,<2,<2,<2,<2,<3
2007-04-02 00:00:00,ww_13,8.2,10.7,8.11,1.516,0.14,1.26,0.24,84.97,604.0,18.0,3.0,13.5,195.0,194.1,0.21,5.6,0.0,0.0,0.0007,,<5.36,7.08,440.0,,12.1,0.0,0.0,0.0368,0.0336,0.08,0.075,0.0,0.0,70.75,69.16,0.0011,0.0,0.0,0.0,0.0,0.66,0.036,0.0,0.0,31.69,31.967,0.0401,0.0199,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.015,0.0,<2,<2,<2,<2,<2,<3
2007-04-02 00:00:00,ww_78,10.0,12.1,7.88,3.746,0.69,1.72,0.48,72.74,714.0,9.0,6.0,13.6,199.0,239.9,0.44,3.8,4.0,0.003,0.0011,,<5.72,10.21,1100.0,690.0,5.6,0.0,0.0,0.0308,0.029,0.15,0.145,0.0,0.0005,77.25,78.66,0.001,0.0007,0.0,0.0,0.0,0.19,0.027,0.0,0.0,29.67,30.878,0.033,0.0231,0.0,,0.003,0.0024,0.0,0.0,0.0,0.0,0.044,0.037,0.0,<2,<2,<2,<2,<2,<3
2007-04-02 00:00:00,ww_17,9.5,12.1,7.95,1.367,0.11,1.15,0.24,64.96,676.0,25.0,5.0,15.3,198.0,233.1,0.2,5.5,3.0,0.0,0.0008,,<5.53,6.71,350.0,,15.8,0.0,0.0,0.0396,0.0362,0.071,0.071,0.0,0.0003,67.55,70.02,0.0011,0.0007,0.0,0.0,0.0,0.76,0.035,0.0,0.0,29.88,31.635,0.0477,0.0216,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.014,0.0,<2,<2,<2,<2,<2,<3
2007-04-02 00:00:00,ww_19,8.8,12.0,7.98,1.381,0.15,1.37,0.39,63.94,676.0,25.0,7.0,17.5,184.0,224.6,0.22,5.4,4.0,0.0,0.0012,,<5.59,9.21,380.0,,16.1,0.0,0.0,0.0389,0.0354,0.076,0.073,0.0,0.0,66.89,68.02,0.001,0.0007,0.0,0.0,0.0,0.81,0.036,0.0,0.001,28.84,30.424,0.0514,0.023,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.019,0.0,<2,<2,<2,<2,<2,<3
2007-04-02 00:00:00,ww_20,8.6,12.4,7.85,1.334,0.09,1.47,0.27,65.64,696.0,23.0,6.0,18.1,192.0,244.9,0.22,5.3,3.0,0.0,0.0004,,<5.61,6.84,430.0,,16.5,0.0,0.0,0.0387,0.0355,0.077,0.076,0.0,0.0004,67.02,68.46,0.0016,0.0008,0.0,0.0,0.0,0.89,0.035,0.0,0.0,28.71,30.248,0.0527,0.0198,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.018,2.61,<2,<2,<2,<2,<2,<3
2007-04-02 00:00:00,ww_24,9.0,11.2,7.68,2.255,0.19,1.7,0.38,91.81,972.0,52.0,13.0,40.1,181.0,389.7,0.28,3.7,0.0,0.0,0.0007,,<5.44,7.4,870.0,,22.4,0.0,0.0,0.0465,0.0392,0.101,0.098,0.0,0.0005,82.84,80.09,0.002,0.001,0.0,0.004,0.0,1.58,0.022,0.0,0.0,31.9,31.477,0.0726,0.0217,0.0,,0.003,0.0,0.0,0.0,0.0,0.0,0.027,0.008,6.12,<2,<2,<2,<2,<2,<3
2007-04-02 00:00:00,ww_109,8.8,11.1,7.99,2.399,0.18,1.35,0.38,93.21,1050.0,44.0,9.0,33.1,185.0,375.6,0.29,3.7,0.0,0.0,0.0014,,<5.27,7.39,1200.0,,22.9,0.0,0.0,0.0434,0.0383,0.106,0.104,0.0,0.0004,80.25,79.88,0.0018,0.0007,0.0,0.002,0.0,1.29,0.026,0.0,0.0,30.97,31.393,0.0695,0.0334,0.0,,0.003,0.0,0.0,0.0,0.0,0.0,0.025,0.012,4.04,<2,<2,<2,<2,<2,<3
2007-04-02 00:00:00,ww_22,9.3,13.2,8.13,1.636,0.15,1.26,0.35,69.94,760.0,35.0,6.0,17.1,179.0,269.6,0.26,4.7,0.0,0.0,0.0013,,<5.95,7.62,360.0,,16.3,0.0,0.0,0.0412,0.0367,0.087,0.087,0.0,0.0,70.38,71.7,0.002,0.0009,0.0,0.003,0.0,1.27,0.033,0.0,0.001,29.29,30.349,0.0658,0.0203,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.063,0.019,0.0,<2,<2,<2,<2,<2,<3
2007-04-02 00:00:00,ww_23,9.0,13.2,8.08,1.692,0.08,1.36,0.34,65.61,700.0,37.0,12.0,21.2,173.0,251.9,0.26,4.6,0.0,0.0,0.0015,,<5.71,8.24,470.0,,12.6,0.0,0.0,0.0397,0.0338,0.089,0.085,0.0,0.0,67.44,66.45,0.0021,0.0009,0.0,0.003,0.0,1.11,0.034,0.0,0.002,27.94,28.243,0.0549,0.0193,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.025,0.011,5.1,<2,<2,<2,<2,<2,<3
