collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2007-12-03 00:00:00,ww_12,11.9,0.07,8.18,0.267,0.14,1.17,0.11,85.3,738.0,26.0,4.0,18.1,186.0,240.8,0.18,6.3,0.0,0.0,0.0005,,<4.87,<5.10,340.0,,30.0,0.0,0.0,0.0389,0.0377,0.101,0.088,0.0,0.0,76.9,68.29,0.0023,0.0012,0.0,0.002,0.0,0.87,0.027,0.005,0.0045,32.54,30.948,0.0858,0.0239,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0039,0.0,<2,<2,<2,<2,<2,<3
2007-12-03 00:00:00,ww_13,10.4,3.7,8.23,8.898,0.1,1.04,1.48,84.62,612.0,24.0,0.0,9.29,169.0,227.2,0.48,5.1,0.0,0.003,0.0,,<4.81,7.41,1400.0,1300.0,12.6,0.0,0.0,0.0324,0.0256,0.204,0.187,0.0,0.0005,69.77,55.54,0.003,0.0014,0.0,0.005,0.0,1.05,0.049,0.008,0.0,28.55,24.252,0.0826,0.036,0.0,,0.002,0.0006,0.0,0.0,0.0,0.0,0.037,0.0173,2.01,<2,<2,<2,<2,<2,<3
2007-12-03 00:00:00,ww_77,11.6,1.0,8.16,0.455,0.15,0.86,0.08,37.8,586.0,14.0,3.0,13.2,91.0,245.1,0.16,4.1,0.0,0.0,0.0007,,<4.30,6.29,750.0,,8.2,0.0,0.0,0.0312,0.0297,0.059,0.052,0.0,0.0,38.99,35.28,0.0023,0.001,0.0,0.005,0.0,0.59,0.057,0.007,0.0052,11.58,10.879,0.0964,0.0677,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.039,0.0138,1.96,<2,<2,<2,<2,<2,<3
2007-12-03 00:00:00,ww_78,9.3,11.9,7.45,8.236,0.13,1.34,1.66,82.15,1158.0,0.0,0.0,2.34,118.0,474.2,0.87,3.8,0.0,0.006,0.0007,,<4.79,9.62,4500.0,,0.9,0.0,0.0,0.0175,0.0151,0.245,0.234,0.0,0.0,60.65,58.7,0.0018,0.0016,0.0,0.003,0.0,0.13,0.054,0.005,0.0055,20.41,20.106,0.0367,0.0182,0.0,,0.005,0.008,0.0,0.0,0.0,0.0,0.049,0.037,0.0,<2,<2,<2,<2,<2,<3
2007-12-03 00:00:00,ww_17,10.9,3.5,7.96,7.342,0.18,1.19,1.27,76.92,740.0,13.0,0.0,13.6,153.0,252.6,0.43,5.0,0.0,0.004,0.0006,,<4.82,6.99,1100.0,1100.0,9.4,0.0,0.0,0.031,0.0322,0.176,0.167,0.0,0.0,60.67,60.09,0.0021,0.0017,0.0,0.005,0.0,0.64,0.056,0.004,0.0,23.9,24.628,0.0523,0.0303,0.0,,0.002,0.0005,0.0,0.0,0.0,0.0,0.029,0.0194,1.06,<2,<2,<2,<2,<2,<3
2007-12-03 00:00:00,ww_19,10.1,3.4,8.04,5.567,0.26,1.71,1.1,71.78,816.0,21.0,3.0,19.1,128.0,366.7,0.49,5.0,0.0,0.006,0.0013,,<5.24,9.87,2300.0,1300.0,6.5,0.0,0.0,0.0296,0.03,0.177,0.17,0.0,0.0005,58.99,55.4,0.0035,0.0017,0.0,0.005,0.003,0.91,0.064,0.005,0.0065,21.36,21.199,0.0574,0.0339,0.0,,0.003,0.0014,0.0,0.0,0.0,0.0,0.043,0.0243,2.64,<2,<2,<2,<2,<2,<3
2007-12-03 00:00:00,ww_20,10.3,3.1,8.08,5.255,0.23,1.36,1.04,70.02,962.0,28.0,4.0,31.7,123.0,392.2,0.43,4.6,0.0,0.006,0.0007,,<4.87,10.14,1300.0,2000.0,6.0,0.0,0.0,0.0304,0.0305,0.162,0.155,0.0,0.0004,56.72,54.6,0.0036,0.0018,0.0,0.005,0.0,0.97,0.064,0.008,0.0,20.7,20.569,0.0492,0.0268,0.0,,0.002,0.0009,0.0,0.0,0.0,0.0,0.043,0.0255,1.43,<2,<2,<2,<2,<2,<3
2007-12-03 00:00:00,ww_24,10.0,4.2,7.32,6.997,0.26,1.33,0.89,69.4,992.0,34.0,7.0,41.1,102.0,433.3,0.44,4.1,0.0,0.006,0.0006,,<4.86,7.54,10000.0,,12.2,0.0,0.0,0.0262,0.0264,0.175,0.168,0.0,0.0004,55.8,54.49,0.0031,0.0019,0.0,0.008,0.003,1.11,0.103,0.006,0.0061,19.8,19.572,0.0632,0.0426,0.0,,0.004,0.0024,0.0,0.0,0.0,0.0,0.042,0.0253,1.16,<2,<2,<2,<2,<2,<3
2007-12-03 00:00:00,ww_109,8.0,3.1,7.32,5.794,0.29,1.46,0.84,63.61,966.0,31.0,5.0,29.9,93.0,427.9,0.36,4.3,0.0,0.007,0.0006,,<4.82,8.16,6600.0,,16.8,0.0,0.0,0.0283,0.026,0.149,0.142,0.0,0.0004,51.8,49.43,0.0038,0.0018,0.0,0.011,0.003,1.33,0.089,0.008,0.0053,18.09,17.558,0.0633,0.0417,0.0,,0.003,0.0015,0.0,0.0,0.0,0.0,0.049,0.0251,1.22,<2,<2,<2,<2,<2,<3
2007-12-03 00:00:00,ww_22,10.6,2.2,7.7,5.499,0.24,1.28,0.96,68.11,1102.0,33.0,8.0,34.4,116.0,480.3,0.41,4.5,0.0,0.007,0.0007,,<5.74,9.93,3900.0,3100.0,8.1,0.0,0.0,0.0327,0.0309,0.168,0.163,0.0,0.0005,57.68,55.03,0.0044,0.0022,0.0,0.007,0.002,1.24,0.075,0.007,0.0059,20.53,20.309,0.0598,0.0477,0.0,,0.004,0.0021,0.0,0.0,0.0,0.0,0.062,0.0308,2.12,<2,<2,<2,<2,<2,<3
