collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2007-02-05 00:00:00,ww_13,12.4,2.2,6.43,9.723,0.19,1.24,1.34,120.9,882.0,12.0,0.0,14.9,268.0,250.8,0.54,5.5,5.0,0.0,0.0009,,4.57,11.11,1400.0,,3.9,0.0,0.0,0.0503,0.0466,0.193,0.207,0.0,0.0005,92.01,90.01,0.0006,0.0,5.0,0.0,0.0,0.59,0.026,0.006,0.005,40.58,41.579,0.0651,0.0528,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.046,0.027,na,<2,<2,<2,<2,<2,<3
2007-02-05 00:00:00,ww_78,9.9,6.6,8.08,6.267,0.23,1.55,0.99,112.88,736.0,8.0,5.0,3.89,180.0,217.0,1.2,6.9,4.0,0.004,0.001,,<3.28,12.76,1500.0,,1.6,0.0,0.0,0.017,0.0172,0.309,0.31,0.0,0.0,68.17,70.92,0.0007,0.0012,0.0,0.002,0.003,0.08,0.047,0.005,0.004,25.44,27.489,0.0227,0.0178,0.0,,0.011,0.0118,0.0,0.0,0.0,0.0,0.061,0.06,0.0,<2,<2,<2,<2,<2,<3
2007-02-05 00:00:00,ww_80,9.9,4.4,7.43,11.438,0.14,0.97,2.86,98.46,728.0,0.0,0.0,3.09,167.0,227.4,0.81,5.1,0.0,0.0,0.0009,,<3.30,8.23,440.0,370.0,2.9,0.0,0.0,0.0228,0.0214,0.253,0.251,0.0,0.0,76.39,71.8,0.0,0.0,0.0,0.003,0.004,0.16,0.089,0.007,0.011,29.23,28.548,0.0155,0.0128,0.0,,0.003,0.0,0.0,0.0,0.0,0.0,0.178,0.047,0.0,<2,<2,<2,<2,<2,<3
2007-02-05 00:00:00,ww_18,10.5,4.4,7.9,11.388,0.13,1.03,2.87,99.0,790.0,25.0,10.0,11.6,173.0,241.0,0.74,5.1,5.0,0.0,0.0007,,<3.37,9.95,770.0,440.0,3.9,0.0,0.0,0.0245,0.0222,0.236,0.25,0.0,0.0,74.23,72.89,0.0007,0.0,3.0,0.003,0.003,0.62,0.039,0.006,0.006,28.81,29.165,0.0255,0.0172,0.0,,0.003,0.0,0.0,0.0,0.0,0.0,0.041,0.029,0.0,<2,<2,<2,<2,<2,<3
2007-02-05 00:00:00,ww_89,8.9,7.7,7.4,8.696,0.23,1.83,2.75,67.9,508.0,33.0,0.0,5.33,144.0,115.4,0.87,7.0,4.0,0.003,0.0012,,<2.89,9.12,20000.0,,5.1,0.0,0.0,0.0247,0.021,0.272,0.265,0.0,0.0,61.41,57.15,0.0006,0.001,3.0,0.006,0.003,0.39,0.055,0.005,0.004,23.59,22.705,0.0272,0.0199,0.0,,0.002,0.0027,0.0,0.0,0.0,0.0,0.052,0.055,1.633,<2,<2,<2,<2,<2,<3
2007-02-05 00:00:00,ww_64,11.4,4.8,7.44,11.985,0.84,2.36,3.08,81.52,640.0,20.0,4.0,16.4,185.0,172.3,0.87,7.0,3.0,0.003,0.0008,,<3.13,9.35,20000.0,,4.0,0.0,0.0,0.029,0.024,0.26,0.257,0.0,0.0,74.1,67.73,0.0012,0.0008,5.0,0.005,0.003,0.67,0.038,0.007,0.004,28.43,26.647,0.0427,0.0337,0.0,,0.003,0.0,0.0,0.0,0.0,0.0,0.045,0.039,1.762,<2,<2,<2,<2,<2,<3
2007-02-05 00:00:00,ww_92,8.4,5.1,6.8,10.048,0.61,1.48,1.24,110.87,746.0,14.0,6.0,9.09,171.0,231.1,0.83,5.0,3.0,0.005,0.0011,0.0,,,150.0,,3.0,0.0,0.0,0.0236,0.0181,0.24,0.229,0.0,0.0,77.48,67.91,0.0018,0.0008,0.0,0.0,0.002,0.38,0.027,0.008,0.005,29.11,26.179,0.0298,0.0242,0.0,,0.007,0.0055,0.0,0.0,0.0,0.0,0.043,0.029,,<2,<2,<2,,,
2007-02-13 00:00:00,ww_37,9.3,7.8,6.82,7.664,1.34,2.26,1.63,57.14,1658.0,7.0,8.0,5.18,140.0,824.0,0.87,3.4,4.0,0.006,0.001,3.6,,,4600.0,4800.0,3.2,0.0,0.0,0.0285,0.0274,0.151,0.165,0.0,0.0008,65.06,64.15,0.0011,0.0,0.0,0.003,0.003,0.18,0.044,0.008,0.001,21.73,22.078,0.0345,0.0351,0.0,,0.004,0.0025,0.0,0.0,0.0,0.0,0.051,0.045,,<2,<2,<2,<2,<2,<3
2007-02-13 00:00:00,ww_73,4.9,3.9,6.87,6.874,1.25,2.7,1.58,51.59,656.0,8.0,9.0,5.39,152.0,245.2,0.86,4.7,0.0,0.004,0.0013,0.0,,,1200.0,1200.0,1.6,0.0,0.0,0.0223,0.0202,0.175,0.192,0.0,0.0006,56.78,56.36,0.0008,0.0,0.0,0.004,0.003,0.26,0.052,0.006,0.0,20.49,20.784,0.0353,0.0279,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.062,0.053,,<2,<2,<2,<2,<2,<3
2007-02-13 00:00:00,ww_102,14.0,5.2,7.1,5.794,0.83,2.18,1.17,58.24,1090.0,12.0,8.0,9.63,162.0,494.7,0.74,4.6,0.0,0.004,0.0005,0.0,<3.48,5.34,2300.0,1600.0,102.4,0.0,0.0,0.0263,0.0237,0.129,0.146,0.0,0.0004,62.8,60.44,0.0008,0.0,0.0,0.002,0.0,0.37,0.038,0.007,0.001,22.28,21.962,0.0267,0.0151,0.05,,0.002,0.0021,0.0,0.0,0.0,0.0,0.106,0.032,3.657,<2,<2,3.3,<2,<2,<3
