collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2007-01-02 00:00:00,ww_12,11.9,6.6,7.51,0.597,0.02,0.93,0.28,125.01,744.0,23.0,6.0,24.3,248.0,183.2,0.2,5.5,0.0,0.0,0.001,,<5.77,12.31,50.0,40.0,17.6,0.0,0.0,0.0391,0.0403,0.106,0.103,0.0,0.0004,80.22,87.17,0.001,0.0,0.0,0.0,0.0,0.92,0.029,0.007,0.004,40.54,39.254,0.0658,0.0452,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.004,1.0,,,,,,
2007-01-02 00:00:00,ww_13,9.9,4.0,7.47,3.03,0.03,1.16,0.33,66.5,490.0,13.0,5.0,27.3,194.0,106.2,0.25,27.9,0.0,0.0,0.0004,,<4.81,7.38,80.0,,3.9,0.0,0.0,0.0312,0.0255,0.086,0.079,0.0,0.0004,57.3,52.44,0.0012,0.0,0.0,0.0,0.0,1.03,0.075,0.008,0.005,26.42,25.148,0.0305,0.0161,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.007,2.3,,,,,,
2007-01-02 00:00:00,ww_77,11.6,4.3,7.6,0.535,0.04,0.78,0.05,65.42,772.0,13.0,3.0,16.0,173.0,294.7,0.21,3.5,0.0,0.0,0.0014,,<5.94,7.39,410.0,240.0,13.3,0.0,0.0,0.0446,0.0415,0.084,0.078,0.0,0.0005,62.01,58.33,0.0009,0.0,2.0,0.002,0.0,0.6,0.041,0.009,0.005,22.69,22.251,0.0683,0.0561,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.009,1.5,,,,,,
2007-01-02 00:00:00,ww_78,9.7,10.8,7.34,4.774,0.15,1.1,0.74,92.09,690.0,4.0,3.0,2.57,215.0,187.2,0.57,4.1,0.0,0.0,0.0006,,<5.58,10.27,600.0,790.0,1.3,0.0,0.0,0.0239,0.0226,0.225,0.223,0.0,0.0005,74.89,71.5,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.007,0.005,28.91,28.712,0.0136,0.0112,0.0,,0.003,0.0026,0.0,0.0,0.0,0.0,0.033,0.028,0.5,,,,,,
2007-01-02 00:00:00,ww_17,10.6,4.8,7.48,2.917,0.02,1.04,0.36,68.42,474.0,14.0,3.0,30.7,197.0,115.7,0.25,6.4,0.0,0.0,0.0012,,<4.95,6.23,110.0,,5.0,0.0,0.0,0.0328,0.0276,0.081,0.081,0.0,0.0005,57.97,55.42,0.0011,0.0,0.0,0.0,0.0,1.1,0.073,0.007,0.003,26.5,26.209,0.0291,0.0141,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.008,3.0,,,,,,
2007-01-02 00:00:00,ww_19,10.7,5.4,7.6,2.973,0.04,1.13,0.37,70.03,516.0,23.0,5.0,33.0,190.0,118.8,0.28,6.0,0.0,0.0,0.0012,,<5.03,8.26,230.0,,4.7,0.0,0.0,0.0355,0.0314,0.097,0.089,0.0,0.0004,62.95,65.01,0.0016,0.0,0.0,0.002,0.0,1.31,0.088,0.007,0.004,28.4,29.892,0.038,0.0176,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.019,0.01,2.8,,,,,,
2007-01-02 00:00:00,ww_20,10.5,5.6,7.57,2.892,0.04,1.13,0.37,71.24,528.0,19.0,4.0,32.6,203.0,127.1,0.3,5.9,0.0,0.0,0.0006,,<5.05,8.75,780.0,,4.9,0.0,0.0,0.0336,0.0311,0.09,0.088,0.0,0.0004,60.84,64.11,0.0015,0.0,0.0,0.002,0.0,1.31,0.075,0.009,0.004,27.18,29.624,0.0372,0.0182,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.008,2.4,,,,,,
2007-01-02 00:00:00,ww_24,10.9,6.2,8.02,4.557,0.06,0.8,1.16,104.19,684.0,14.0,3.0,12.2,209.0,200.0,0.37,3.9,0.0,0.0,0.0011,,<5.71,9.39,380.0,,3.9,0.0,0.0,0.0326,0.0321,0.156,0.148,0.0,0.0004,76.77,78.03,0.001,0.0,0.0,0.002,0.0,0.56,0.034,0.008,0.003,30.56,31.894,0.0304,0.0218,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.02,1.4,,,,,,
2007-01-02 00:00:00,ww_109,10.8,5.6,8.16,4.19,0.06,0.9,1.13,98.54,684.0,13.0,5.0,13.2,199.0,193.3,0.38,4.0,0.0,0.0,0.0012,,<5.63,6.38,310.0,,4.2,0.0,0.0,0.0332,0.0314,0.163,0.156,0.0,0.0005,74.17,76.81,0.0011,0.0,0.0,0.003,0.0,0.63,0.033,0.008,0.003,29.43,31.075,0.035,0.0267,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.024,0.02,3.4,,,,,,
2007-01-02 00:00:00,ww_22,11.7,5.0,8.32,3.036,0.06,1.21,0.56,73.95,542.0,21.0,7.0,34.3,197.0,134.1,0.29,5.7,0.0,0.0,0.0012,,<5.13,8.56,310.0,,4.7,0.0,0.0,0.038,0.0314,0.114,0.098,0.0,0.0004,69.93,65.74,0.0017,0.0,0.0,0.002,0.0,1.37,0.062,0.009,0.003,30.62,29.682,0.0388,0.0157,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.02,0.014,3.0,,,,,,
2007-01-02 00:00:00,ww_23,10.5,5.6,8.25,3.412,0.06,1.29,0.49,74.91,542.0,19.0,3.0,33.6,200.0,139.8,0.29,5.4,0.0,0.0,0.0012,,<5.13,6.99,270.0,,3.8,0.0,0.0,0.0366,0.0309,0.111,0.099,0.0,0.0003,66.16,64.35,0.0019,0.0,0.0,0.002,0.0,1.37,0.081,0.014,0.004,29.28,29.103,0.0346,0.0147,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.019,0.012,3.4,,,,,,
2007-01-02 00:00:00,ww_29,10.0,6.2,7.71,3.396,0.06,1.12,0.46,74.67,568.0,20.0,5.0,37.7,195.0,138.4,0.3,5.2,0.0,0.0,0.0012,,<5.18,8.62,320.0,,3.3,0.0,0.0,0.0346,0.0315,0.102,0.101,0.0,0.0003,62.24,65.51,0.0021,0.0,0.0,0.003,0.0,1.33,0.074,0.007,0.003,27.42,29.602,0.0348,0.0163,0.09,,0.002,0.0,0.0,0.0,0.0,0.0,0.021,0.011,3.9,,,,,,
2007-01-02 00:00:00,ww_91,10.9,5.7,7.81,3.386,0.06,1.09,0.47,76.19,578.0,21.0,5.0,33.8,195.0,141.3,0.31,5.2,0.0,0.0,0.0008,,<5.30,11.66,360.0,,4.2,0.0,0.0,0.0362,0.0311,0.115,0.106,0.0,0.0003,67.45,66.57,0.002,0.0,0.0,0.003,0.0,1.41,0.067,0.009,0.003,29.21,29.742,0.0311,0.0134,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.02,0.011,3.4,,,,,,
2007-01-02 00:00:00,ww_79,9.9,3.8,7.9,0.665,0.13,0.91,0.14,106.92,826.0,17.0,4.0,18.4,226.0,271.0,0.2,4.6,3.0,0.0,0.0013,,<6.46,5.78,410.0,,8.2,0.0,0.0,0.0453,0.0421,0.094,0.083,0.0,0.0005,88.62,86.2,0.0011,0.0,0.0,0.0,0.0,0.86,0.028,0.007,0.004,36.44,36.657,0.0739,0.0564,0.06,,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.007,6.3,,,,,,
2007-01-02 00:00:00,ww_80,9.9,4.6,8.0,4.667,0.06,0.97,1.17,87.9,660.0,9.0,3.0,10.1,182.0,197.4,0.34,4.3,0.0,0.0,0.001,,<5.67,7.29,290.0,,4.2,0.0,0.0,0.0294,0.0293,0.135,0.129,0.0,0.0003,70.01,68.7,0.0006,0.0,0.0,0.0,0.0,0.41,0.06,0.006,0.005,27.26,27.948,0.0243,0.0129,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.013,1.3,,,,,,
2007-01-02 00:00:00,ww_18,10.1,7.0,7.7,4.534,0.07,0.96,1.13,87.76,596.0,7.0,3.0,9.99,189.0,203.5,0.35,4.4,0.0,0.0,0.0004,,<5.69,8.33,380.0,,5.6,0.0,0.0,0.0318,0.0302,0.116,0.126,0.0,0.0005,72.09,71.03,0.0005,0.0,0.0,0.0,0.0,0.39,0.079,0.007,0.003,29.14,28.735,0.0226,0.0153,0.07,,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.012,4.4,,,,,,
2007-01-02 00:00:00,ww_90,11.8,5.4,7.9,0.624,0.07,0.75,0.13,77.89,620.0,7.0,3.0,6.98,233.0,183.9,0.2,4.7,0.0,0.0,0.0011,,<5.85,7.28,<10,9.0,6.3,0.0,0.0,0.0589,0.0568,0.073,0.048,0.0,0.0,77.76,76.44,0.0,0.0,0.0,0.0,0.0,0.52,0.035,0.008,0.005,33.61,33.78,0.0523,0.0474,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.006,3.1,,,,,,
2007-01-02 00:00:00,ww_110,10.1,6.6,7.8,0.902,0.34,2.04,0.14,168.85,756.0,39.0,11.0,35.6,280.0,210.5,0.25,10.8,0.0,0.0,0.0013,,5.09,7.58,16000.0,14000.0,30.2,0.0,0.0,0.0532,0.0487,0.084,0.069,0.0,0.0004,112.41,109.34,0.0016,0.0,0.0,0.0,0.0,1.86,0.085,0.009,0.006,42.34,42.513,0.124,0.1138,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.029,0.014,3.8,,,,,,
2007-01-02 00:00:00,ww_89,8.3,7.9,7.5,6.637,0.04,1.63,2.08,91.99,572.0,7.0,0.0,5.68,214.0,139.8,0.52,6.2,0.0,0.003,0.0005,,<5.52,10.26,3500.0,2800.0,2.4,0.0,0.0,0.0334,0.032,0.201,0.217,0.0,0.0004,79.56,77.0,0.0005,0.0,0.0,0.005,0.002,0.23,0.041,0.008,0.004,30.73,30.438,0.0229,0.0195,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.03,2.8,,,,,,
2007-01-02 00:00:00,ww_64,9.6,7.6,7.8,6.863,0.21,1.46,1.65,90.31,568.0,11.0,5.0,10.7,208.0,150.7,0.46,5.4,0.0,0.0,0.0015,,<5.51,7.66,2300.0,2500.0,20.6,0.0,0.0,0.0363,0.0349,0.13,0.132,0.0,0.0004,74.48,75.05,0.0008,0.0,0.0,0.002,0.0,0.48,0.037,0.007,0.004,28.28,29.37,0.0394,0.0279,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.016,4.6,,,,,,
2007-01-02 00:00:00,ww_92,6.8,14.5,7.65,5.128,0.29,1.28,0.68,111.54,574.0,16.0,7.0,10.1,199.0,155.8,0.66,4.3,0.0,0.003,0.0017,0.0,,,110.0,,1.2,0.0,0.0,0.0309,0.0237,0.247,0.254,0.0,0.0003,85.76,75.02,0.0031,0.0012,0.0,0.002,0.0,0.58,0.031,0.012,0.006,32.93,29.811,0.0418,0.0298,0.0,,0.005,0.0029,0.0,0.0,0.0,0.0,0.036,0.02,,,,,,,
2007-01-08 00:00:00,ww_106,9.6,4.8,7.9,3.867,0.18,1.16,0.86,34.2,628.0,29.0,0.0,36.9,220.0,240.7,0.35,4.1,4.0,0.0,0.0,,<6.22,8.69,3000.0,1800.0,7.5,0.0,0.0,0.0533,0.0479,0.136,0.145,0.0,0.0005,80.02,77.01,0.0011,0.0,0.0,0.009,0.003,1.31,0.033,0.005,0.003,33.27,34.762,0.0481,0.0344,0.0,,0.003,0.0,0.0,0.0,0.0008,0.0,0.028,0.034,4.1,,,,,,
