collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2008-10-06 00:00:00,ww_12,8.9,14.9,6.9,0.158,0.0,0.98,0.0,82.1,596.0,25.0,4.0,19.5,204.0,146.0,0.0,7.0,0.0,0.0,0.0,,<1.70,2.2,180.0,130.0,18.5,0.0,0.0,0.0457,0.0407,0.102,0.111,0.0,0.0,68.96,66.23,0.0027,0.0,0.0,0.0,0.0,1.14,0.046,0.023,0.0,28.6,28.083,0.1117,0.0258,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,1.36,<2,<2,<2,<3,<3,<3
2008-10-06 00:00:00,ww_13,9.1,15.6,7.2,6.191,0.0,0.83,1.28,75.34,644.0,13.0,3.0,9.35,214.0,179.0,0.42,5.4,0.0,0.0,0.0,,1.8,3.6,140.0,,8.1,0.0,0.0,0.0386,0.0335,0.173,0.173,0.0,0.0,72.08,65.29,0.0,0.0,0.0,0.0,0.0,0.55,0.037,0.021,0.0,30.92,28.76,0.059,0.0277,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.011,1.37,<2,<2,<2,<3,<3,<3
2008-10-06 00:00:00,ww_78,9.2,19.9,7.5,11.459,0.24,1.13,0.73,109.16,720.0,3.0,0.0,1.38,172.0,186.0,0.74,4.2,0.0,0.0,0.0,,<2.50,9.8,9.0,20.0,1.0,0.0,0.0,0.0171,0.0149,0.282,0.272,0.0,0.0,83.83,78.35,0.0,0.0,0.0,0.0,0.0,0.11,0.054,0.022,0.0,29.9,28.622,0.0346,0.0301,0.0,,0.0,0.0064,0.0,0.0,0.0,0.0,0.033,0.027,0.79,<2,<2,<2,<3,<3,<3
2008-10-06 00:00:00,ww_17,7.9,15.3,7.5,5.038,0.12,0.9,1.07,80.31,668.0,19.0,4.0,8.4,214.0,189.0,0.37,4.4,0.0,0.0,0.0,,<2.40,6.6,1200.0,,9.4,0.0,0.0,0.0425,0.037,0.166,0.166,0.0,0.0,73.77,69.0,0.0025,0.0,0.0,0.0,0.0,0.68,0.03,0.025,0.0,31.57,30.198,0.073,0.0359,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.012,1.99,<2,<2,<2,<3,<3,<3
2008-10-06 00:00:00,ww_19,7.8,15.7,7.4,6.222,0.17,0.91,0.81,93.9,682.0,10.0,0.0,6.75,191.0,177.0,0.46,3.8,0.0,0.0,0.0,,<3.30,6.7,250.0,,1.8,0.0,0.0,0.0368,0.0337,0.187,0.185,0.0,0.0,75.3,70.69,0.0026,0.0,0.0,0.0,0.0,0.48,0.04,0.023,0.0,30.74,29.447,0.0473,0.0342,0.0,,0.0,0.0023,0.0,0.0,0.0,0.0,0.019,0.012,1.95,<2,<2,<2,<3,<3,<3
2008-10-06 00:00:00,ww_20,7.7,14.8,7.4,6.023,0.1,1.0,0.73,92.03,684.0,10.0,0.0,8.09,195.0,188.0,0.44,3.8,0.0,0.0,0.0,,<4.70,8.2,1100.0,,1.5,0.0,0.0,0.0386,0.0349,0.187,0.188,0.0,0.0,75.79,70.65,0.0029,0.0,0.0,0.0,0.0,0.51,0.036,0.023,0.0,31.04,29.478,0.0608,0.0297,0.0,,0.0,0.002,0.0,0.0,0.0,0.0,0.03,0.012,2.0,<2,<2,<2,<3,<3,<3
2008-10-06 00:00:00,ww_24,8.2,10.9,7.6,6.03,0.11,0.77,0.69,65.58,498.0,21.0,3.0,14.1,131.0,136.0,0.37,3.4,0.0,0.0,0.0,,<1.50,4.1,140.0,,2.1,0.0,0.0,0.0314,0.0264,0.15,0.151,0.0,0.0,56.09,51.54,0.0026,0.0,0.0,0.0,0.0,0.95,0.071,0.02,0.0,22.09,20.582,0.0444,0.022,0.0,,0.0,0.0059,0.0,0.0,0.0,0.0,0.023,0.01,4.78,<2,<2,<2,<3,<3,<3
2008-10-06 00:00:00,ww_109,7.2,14.3,7.9,4.908,0.0,0.81,0.6,66.5,516.0,18.0,3.0,9.46,150.0,149.0,0.35,3.4,0.0,0.0,0.0,,<1.40,4.7,530.0,,1.1,0.0,0.0,0.0323,0.027,0.153,0.147,0.0,0.0,57.57,51.42,0.0027,0.0,0.0,0.0,0.0,0.8,0.063,0.022,0.0,22.51,20.471,0.0394,0.0207,0.0,,0.0,0.0043,0.0,0.0,0.0,0.0,0.02,0.0,4.33,<2,<2,<2,<3,<3,<3
2008-10-06 00:00:00,ww_22,8.2,14.7,7.9,5.34,0.0,0.9,0.66,81.13,560.0,14.0,0.0,7.03,179.0,173.0,0.4,3.6,0.0,0.0,0.0,,<1.70,5.3,710.0,,1.2,0.0,0.0,0.0364,0.031,0.174,0.169,0.0,0.0,68.87,60.86,0.0032,0.0,0.0,0.0,0.0,0.62,0.048,0.022,0.0,27.54,24.806,0.0472,0.0226,0.0,,0.0,0.0031,0.0,0.0,0.0,0.0,0.021,0.011,3.42,<2,<2,<2,<3,<3,<3
2008-10-06 00:00:00,ww_23,7.3,14.5,7.8,4.878,0.0,0.76,0.61,83.85,608.0,24.0,4.0,13.6,156.0,150.0,0.38,3.8,0.0,0.0,0.0,,<1.70,5.3,240.0,,0.8,0.0,0.0,0.0369,0.0319,0.17,0.178,0.0,0.0,68.07,63.46,0.0041,0.0,0.0,0.0,0.0,0.85,0.035,0.027,0.0,28.59,26.752,0.0585,0.0377,0.0,,0.0,0.0033,0.0,0.0,0.0,0.0,0.026,0.012,6.6,<2,<2,<2,<3,<3,<3
