collect(date),time(collected),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),alk(qual_code),cl(mg/l),cl(qual_code),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),b_sol(qual_code),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_tot(qual_code),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mg_sol(qual_code),mn_tot(mg/l),mn_sol(mg/l),mn_sol(qual_code),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l),xylenes_(total)(ug/l)
2012-03-05 00:00:00,935.0,ww_12,13.1,3.8,7.2,0.517,<0.1,1.9,<0.1,86.77,994.0,13.0,2.0,11.6,230.0,,401.0,,0.17,3.8,<5,0.005,0.002,,<3.00,2.2,40.0,7.8,<0.05,<0.02,0.046,0.04,0.06,0.06,,<0.001,<0.001,92.0,87.0,<0.005,<0.005,<6,<0.005,<0.005,1.2,,<0.1,<0.02,<0.02,38.0,37.0,,0.109,0.061,,<0.2,,<0.005,<0.005,0.005,0.007,0.002,0.002,0.03,0.01,<2.5,,,,,,
2012-03-05 00:00:00,1010.0,ww_13,11.2,4.2,7.73,4.217,<0.1,<1,0.21,57.66,740.0,16.0,3.0,16.7,202.0,,211.0,,0.21,4.9,<5,<0.005,<0.001,,<1.90,2.9,300.0,12.8,<0.05,<0.02,0.037,0.032,0.06,0.06,,<0.001,<0.001,71.0,70.0,<0.005,<0.005,<6,<0.005,<0.005,0.9,,0.1,<0.02,<0.02,33.0,32.0,,0.051,0.03,,<0.2,,<0.005,<0.005,<0.005,0.007,0.001,0.001,0.01,0.01,<2.5,,,,,,
2012-03-05 00:00:00,1105.0,ww_77,10.7,4.5,7.85,0.258,0.1,<1,<0.1,79.56,1160.0,14.0,4.0,7.04,212.0,,387.0,,0.5,2.1,<5,0.005,0.0023,,<2.80,3.2,30.0,5.2,<0.05,<0.02,0.063,0.06,0.25,0.25,,<0.001,<0.001,91.0,90.0,<0.005,<0.005,<6,<0.005,<0.005,0.4,,<0.1,<0.02,<0.02,31.0,32.0,,0.086,0.069,,<0.2,,<0.005,<0.005,<0.005,0.009,0.002,0.002,0.01,0.01,<2.5,,,,,,
2012-03-05 00:00:00,1130.0,ww_78,10.9,8.5,7.79,5.157,<0.1,<1,0.28,82.81,988.0,5.0,3.0,3.06,238.0,,285.0,,0.49,3.2,<5,0.006,0.0017,,<2.30,4.1,170.0,3.8,<0.05,<0.02,0.043,0.04,0.23,0.23,,<0.001,<0.001,94.0,91.0,<0.005,<0.005,<6,<0.005,<0.005,0.2,,<0.1,<0.02,<0.02,36.0,35.0,,0.035,0.025,,<0.2,,0.005,0.005,0.007,<0.005,0.002,0.002,0.02,0.02,<2.5,,,,,,
2012-03-05 00:00:00,1205.0,ww_17,11.0,3.1,7.55,3.573,<0.1,2.03,0.18,58.77,790.0,15.0,4.0,14.6,207.0,,226.0,,0.22,4.4,<5,<0.005,0.0011,,<2.10,2.5,340.0,15.2,<0.05,<0.02,0.04,0.035,0.06,0.07,,<0.001,<0.001,73.0,73.0,<0.005,<0.005,<6,<0.005,<0.005,0.9,,0.1,<0.02,<0.02,33.0,33.0,,0.046,0.026,,<0.2,,<0.005,<0.005,0.005,0.005,0.001,0.001,0.01,0.01,<2.5,,,,,,
2012-03-05 00:00:00,1250.0,ww_19,11.5,4.0,7.85,3.549,<0.1,2.22,0.2,62.73,794.0,17.0,4.0,10.6,211.0,,242.0,,0.22,4.4,<5,<0.005,0.0016,,<2.40,2.4,400.0,13.9,<0.05,<0.02,0.041,0.036,0.08,0.08,,<0.001,<0.001,77.0,75.0,<0.005,<0.005,<6,<0.005,<0.005,0.7,,0.1,<0.02,<0.02,34.0,33.0,,0.055,0.03,,<0.2,,<0.005,<0.005,<0.005,0.006,0.001,0.001,0.01,0.01,<2.5,,,,,,
2012-03-05 00:00:00,1330.0,ww_20,11.8,4.6,7.92,3.339,<0.1,2.4,0.2,63.59,794.0,15.0,4.0,10.7,212.0,,256.0,,0.24,4.4,<5,<0.005,0.0015,,<2.60,3.0,680.0,13.6,<0.05,<0.02,0.04,0.036,0.08,0.08,,<0.001,<0.001,77.0,76.0,<0.005,<0.005,<6,<0.005,<0.005,0.7,,0.1,<0.02,<0.02,34.0,34.0,,0.046,0.025,,<0.2,,<0.005,<0.005,<0.005,0.005,0.001,0.002,0.02,0.01,<2.5,,,,,,
2012-03-05 00:00:00,825.0,ww_24,11.6,3.4,6.23,4.154,<0.1,<1,0.44,89.88,1158.0,15.0,4.0,9.15,208.0,,128.0,,0.27,3.5,<5,<0.005,0.0013,,<2.80,3.8,1300.0,12.3,<0.05,<0.02,0.046,0.041,0.11,0.11,,<0.001,<0.001,96.0,94.0,<0.005,<0.005,<6,<0.005,<0.005,0.5,,<0.1,<0.02,<0.02,37.0,37.0,,0.062,0.032,,<0.2,,0.005,0.005,<0.005,0.007,0.002,0.002,0.03,0.02,<2.5,,,,,,
2012-03-05 00:00:00,855.0,ww_109,11.2,3.2,6.91,4.016,<0.1,<1,0.5,89.82,1148.0,5.0,1.0,7.64,209.0,,503.0,,0.28,3.4,<5,<0.005,0.0014,,2.7,2.7,880.0,11.9,<0.05,<0.02,0.045,0.042,0.11,0.11,,<0.001,<0.001,96.0,95.0,<0.005,<0.005,<6,<0.005,<0.005,0.4,,<0.1,<0.02,<0.02,37.0,37.0,,0.089,0.046,,<0.2,,0.005,0.005,<0.005,0.009,0.002,0.002,0.05,0.02,<2.5,,,,,,
2012-03-05 00:00:00,915.0,ww_22,12.1,3.2,7.86,3.318,<0.1,3.22,0.26,69.7,898.0,15.0,4.0,11.9,211.0,,319.0,,0.24,4.1,<5,<0.005,0.0016,,<2.40,3.6,550.0,13.7,<0.05,<0.02,0.042,0.039,0.09,0.09,,<0.001,<0.001,82.0,82.0,<0.005,<0.005,<6,<0.005,<0.005,0.6,,0.1,<0.02,<0.02,35.0,35.0,,0.064,0.038,,<0.2,,<0.005,<0.005,0.006,0.006,0.002,0.002,0.01,0.01,<2.5,,,,,,
