Field_Note,Outfall_Vi,Monitor,Adj_Basin_,Runoff_Fac,Graffiti,DWM_cfs_ac,percent_ac,DWM_cfs,Location,ATLAS,Receiving,percent_ro,Insp_Date,Pipe_Size,Saturation,Elevation,Users,MWRD_cfs_a,Outfall_Ph,TG,Basin_Ac,Structural,STATUS,Shaft,Easting,MWRD,Comment,Bank_Erosi,users_acre,Bag,Connection,River_Bank,FID,on_CAWS,GPS,Control,MWRD_cfs,311_Street,NAME,Obstructio,Outfall_St,rock_acres,Pipe_Mater,Weather,Outfall_Si,CDM_cfs_ac,Owner,sand_acres,311_Add,Northing
001.pdf,001.mpg,NO,269.956,0.802041677313,YES,1.13722236216,0.495894065707,307,Touhy Ave.,41-1-31,North Shore Channel,0,1067731968,6,Invert wet,-2.82,0,1.30021188638,001.jpg,0,336.586,POOR,Active,DS-98,1153576.271,MS-97, ,NO,0, ,Direct,E,1230,1,YES, ,351,N KEDZIE AVE,001,NO,Headwall,0,Brick,SUNNY,6,0.335586359327,DWM,166.911,7156,1947500.82
002.pdf,002.mpg,MWRD,769.754163335,0.586664860383,YES,0.937342849604,0.427393042371,721.523560955,Pratt Ave.,41-1-32,North Shore Channel,0,1067731968,13 X 13,Invert wet,-6.57,1,0,002.jpg,2,1312.085,FAIR,Active,DS-M97,1153606.216,MS-97, ,NO,0.000762145745131, ,Direct,E,1231,1,YES, ,0,N KEDZIE AVE,002,NO,Battery,0,Cement,SUNNY,24x8.4,0.937342849604,DWM,560.776,6746,1944762.929
003.pdf,003.mpg,NO,28.9311931294,1.04312937189,NO,1.04194931405,0,30.1448368358,North Shore Ave,41-1-32,North Shore Channel,0,1067731968,3.5,Invert wet,-2.37,0,0,003.jpg,0,27.735,POOR,Active,DS-97,1153542.97,MS-97, ,NO,0, ,Direct,E,1232,1,YES, ,0,N KEDZIE AVE,003,NO,Headwall,0,Brick,SUNNY,3.8,1.04194931405,DWM,0,6716,1944413.988
004.pdf,004.mpg,NO,475.8142,0.73407612997,NO,0.447263348507,0,212.814252359,Devon Ave.,40-3-33,North Shore Channel,0,1154131968,7.5,Invert wet,-5.07,0,0.550635100844,004.jpg,0,648.181,FAIR,Active,I-95,1153475.85,MS-100, ,NO,0, ,Interceptor,W,1233,1,YES, ,262,W DEVON AVE,004,NO,Headwall,0,Cement,SUNNY,14,0.447263348507,DWM,0,3235,1942164.22
005.pdf,005.mpg,NO,259.002212693,0.887306867467,NO,0.684282648889,0,177.23072017,Devon Ave.,40-3-33,North Shore Channel,0,1154131968,6,Dry,-1.12,0,0.501926213866,005.jpg,0,291.897,FAIR,Active,DS-96,1153569.56,MS-97, ,NO,0, ,Direct,E,1234,1,YES, ,130,W DEVON AVE,005,NO,Headwall,0,Brick,SUNNY,6,0.684282648889,DWM,0,3225,1942219.529
006.pdf,006.mpg,NO,225.723404411,0.877205530878,YES,0.294719509324,0.0262007376001,66.5250909911,Peterson Ave.,40-3-29,North Shore Channel,0,1154131968,5,Dry,-0.97,0,0.327834856971,006.jpg,0,257.321,EXCELLENT,Active,DS-95,1154013.806,MS-94, ,NO,0, ,Direct,E,1235,1,YES, ,0,W PETERSON AVE,006,NO,Bridge,0,Cement,SUNNY,5,0.294719509324,DWM,6.742,3153,1939663.595
007.pdf,007.mpg,NO,405.46955,0.713563386082,NO,0.343909814673,0,139.444957796,Peterson Ave.,40-3-29,North Shore Channel,0,1154131968,5.5,Invert wet,-2.77,1,0.389671678182,007.jpg,0,568.232,FAIR,Active,I-94,1153914.7,MS-90, ,NO,0.00175984457053, ,Interceptor,W,1236,1,YES, ,158,W PETERSON AVE,007,NO,Bridge,0,Brick,SUNNY,6,0.343909814673,DWM,0,3208,1939714.905
008.pdf,008.mpg,NO,67.933,1.06848173139,NO,0.888925956725,0,60.3874070182,Thorndale Ave.,40-3-30,North Shore Channel,0,1240531968,4.5,Invert wet,-4.57,0,0.912663948302,008.jpg,0,63.579,EXCELLENT,Active,I-93,1154049.259,MS-90, ,NO,0, ,Interceptor,W,1237,1,YES, ,62,W THORNDALE AVE,008,NO,Headwall,0,Cement,CLOUDY,12x6.3,0.888925956725,DWM,0,3216,1939018.906
009.pdf,009.mpg,MWRD,42.7225014258,1.15142576072,NO,0.514043044548,0,21.9612047036,Ardmore Ave.,40-3-30,North Shore Channel,0,1240531968,2.75,Dry,-0.17,0,0.468137382703,009.jpg,1,37.104,FAIR,Active,I-92,1154186.257,MS-90, ,NO,0, ,Interceptor,W,1238,1,YES, ,20,W ARDMORE AVE,009,NO,Headwall,0,Cement,CLOUDY,2.2,0.514043044548,DWM,0,3201,1938365.22
010.pdf,010.mpg,MWRD,100.274125,1.13760423166,NO,1.20070855767,0.0929150831017,120.4,Ardmore Ave.,40-3-30,North Shore Channel,0,1845331968,7 X 5.5,Invert wet,-4.12,0,1.41611806635,010.jpg,1,88.145,FAIR,Active,DS-94,1154370.035,MS-94, ,YES,0, ,Direct,E,1239,1,YES, ,142,W ARDMORE AVE,010,NO,Brick Haedwall,0,Brick,SUNNY,12,0.97054488634,DWM,8.19,3065,1938295.789
