Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
CDS-45,9th Ave ext. & 151st St (S),TG05,Little Cal R (South),Calumet,8/20/2016 9:13:00 AM,8/20/2016 12:39:00 PM,:03:26:00
CDS-C-1,South Park Ave (S),TG02,Little Cal R (South),Calumet,8/20/2016 10:04:00 AM,8/20/2016 10:34:00 AM,:00:30:00
DS-D01,Prairie Ave (River Rd & Thacker St) (W),TG1,DesPlaines Upper,Stickney,10/1/2016 11:35:37 AM,10/1/2016 12:17:01 PM,:00:41:24
DS-D05,Riverside Dr. near Sibley Ave. (E),TG2,DesPlaines Upper,Stickney,8/18/2016 6:34:05 AM,8/18/2016 7:20:01 AM,:00:45:56
DS-D05,Riverside Dr. near Sibley Ave. (E),TG2,DesPlaines Upper,Stickney,8/12/2016 7:24:57 PM,8/12/2016 7:50:05 PM,:00:25:08
DS-D06,Touhy Ave (E),TG1,DesPlaines Upper,Stickney,8/30/2016 6:51:21 AM,8/30/2016 6:53:25 AM,:00:02:04
DS-D07,Devon Ave (E),TG2,DesPlaines Upper,Stickney,10/1/2016 5:22:33 PM,10/1/2016 6:11:29 PM,:00:48:56
DS-D07,Devon Ave (E),TG2,DesPlaines Upper,Stickney,10/1/2016 11:45:13 AM,10/1/2016 12:20:05 PM,:00:34:52
DS-D07,Devon Ave (E),TG3,DesPlaines Upper,Stickney,10/1/2016 11:44:01 AM,10/1/2016 12:29:09 PM,:00:45:08
DS-D07,South Devon Ave. & E. River Road (E),TG1,DesPlaines Upper,Stickney,10/1/2016 11:39:01 AM,10/1/2016 1:11:13 PM,:01:32:12
DS-D07,Devon Ave (E),TG2,DesPlaines Upper,Stickney,8/30/2016 7:00:21 AM,8/30/2016 7:01:37 AM,:00:01:16
DS-D07,Devon Ave (E),TG3,DesPlaines Upper,Stickney,8/30/2016 6:59:41 AM,8/30/2016 7:02:05 AM,:00:02:24
DS-D07,South Devon Ave. & E. River Road (E),TG1,DesPlaines Upper,Stickney,8/30/2016 6:59:05 AM,8/30/2016 7:02:05 AM,:00:03:00
DS-D08,Northwest Tollway (E),TG1,DesPlaines Middle,Stickney,10/1/2016 11:57:57 AM,10/1/2016 12:45:05 PM,:00:47:08
DS-D10,Wilson Ave ext. (Wilson & East River Rd) (E),TG1,DesPlaines Middle,Stickney,10/1/2016 5:36:53 PM,10/1/2016 5:49:01 PM,:00:12:08
DS-D10,Wilson Ave ext. (Wilson & East River Rd) (E),TG1,DesPlaines Middle,Stickney,10/1/2016 3:20:09 PM,10/1/2016 3:58:01 PM,:00:37:52
DS-D10,Wilson Ave ext. (Wilson & East River Rd) (E),TG1,DesPlaines Middle,Stickney,10/1/2016 11:20:33 AM,10/1/2016 12:11:53 PM,:00:51:20
DS-D10,Wilson Ave ext. (Wilson & East River Rd) (E),TG1,DesPlaines Middle,Stickney,9/21/2016 7:56:41 AM,9/21/2016 7:59:03 AM,:00:02:22
DS-D10,Wilson Ave ext. (Wilson & East River Rd) (E),TG1,DesPlaines Middle,Stickney,8/30/2016 6:47:53 AM,8/30/2016 6:50:57 AM,:00:03:04
DS-D11,Belmont Ave (E),TG1,DesPlaines Middle,Stickney,8/20/2016 8:52:29 AM,8/20/2016 9:57:17 AM,:01:04:48
DS-D11,Belmont Ave (E),TG1,DesPlaines Middle,Stickney,8/18/2016 7:02:05 AM,8/18/2016 8:06:29 AM,:01:04:24
DS-D12I,South of Irving Park Rd (W),TG1,DesPlaines Middle,Stickney,10/1/2016 5:03:13 PM,10/1/2016 6:13:45 PM,:01:10:32
DS-D13,Robinson Rd (W),TG1,DesPlaines Middle,Stickney,10/1/2016 4:55:57 PM,10/1/2016 6:44:21 PM,:01:48:24
DS-D13,Robinson Rd (W),TG1,DesPlaines Middle,Stickney,8/29/2016 3:09:25 PM,8/29/2016 3:55:57 PM,:00:46:32
DS-D15,Franklin St (W),TG1,DesPlaines Middle,Stickney,10/1/2016 5:06:29 PM,10/1/2016 6:40:53 PM,:01:34:24
DS-D15,Franklin St (W),TG1,DesPlaines Middle,Stickney,10/1/2016 11:53:01 AM,10/1/2016 12:17:05 PM,:00:24:04
DS-D15,Franklin St (W),TG1,DesPlaines Middle,Stickney,8/29/2016 3:18:25 PM,8/29/2016 4:06:41 PM,:00:48:16
DS-D16,Grand Ave (W),TG1,DesPlaines Middle,Stickney,10/1/2016 5:32:53 PM,10/1/2016 6:10:09 PM,:00:37:16
DS-D16,Grand Ave (W),TG1,DesPlaines Middle,Stickney,10/1/2016 3:24:29 PM,10/1/2016 4:01:25 PM,:00:36:56
DS-D16,Grand Ave (W),TG1,DesPlaines Middle,Stickney,8/29/2016 3:31:45 PM,8/29/2016 3:40:21 PM,:00:08:36
DS-D17,Fullerton Ave Ext. (W),TG2,DesPlaines Middle,Stickney,10/1/2016 3:27:05 PM,10/1/2016 4:14:53 PM,:00:47:48
