location,segment,date,starttime,endtime,duration
"DS-D39,42,46",16,2016-05-25,05:38,06:51,73
DS-M08,9,2016-05-25,05:43,07:39,116
DS-D16,14,2016-05-25,05:49,06:13,23
DS-M49,6,2016-05-25,05:52,06:23,30
DS-M47,6,2016-05-25,05:55,06:22,27
DS-M25,6,2016-05-25,05:55,10:17,261
DS-M45,6,2016-05-25,05:56,07:39,103
DS-M83,3,2016-05-25,05:58,06:10,12
DS-M51,6,2016-05-25,05:58,06:05,6
DS-M15,8,2016-05-25,05:58,08:08,129
DS-M03,9,2016-05-25,06:02,07:39,97
"DS-M27,DS-M28,& DS-M29 (RAPS)",7,2016-05-25,06:10,11:59,349
DS-M70,3,2016-05-25,06:10,06:28,18
DS-M38,6,2016-05-25,06:12,06:46,33
DS-M38,6,2016-05-25,06:13,06:33,20
DS-M79,3,2016-05-25,06:13,12:41,387
DS-D16,14,2016-05-25,06:18,07:49,90
DS-M80,3,2016-05-25,06:21,07:39,78
DS-D34-AI,23,2016-05-25,06:25,02:30,485
DS-M40,6,2016-05-25,06:28,06:54,25
DS-M40,6,2016-05-25,06:29,06:53,23
DS-M73,3,2016-05-25,06:30,07:39,69
DS-M84,3,2016-05-25,06:30,07:39,69
DS-M84,3,2016-05-25,06:31,08:08,97
DS-M90 & DS-M91 (NBPS),3,2016-05-25,06:32,02:55,503
DS-M66,3,2016-05-25,06:33,08:09,95
DS-M66,3,2016-05-25,06:34,08:09,95
DS-N02,4,2016-05-25,06:34,07:54,80
DS-M70,3,2016-05-25,06:34,07:58,84
DS-M83,3,2016-05-25,06:36,07:16,39
DS-N05,4,2016-05-25,06:38,09:55,196
DS-M09,9,2016-05-25,06:41,08:20,99
DS-M79,3,2016-05-25,06:42,01:01,378
DS-M38,6,2016-05-25,06:43,06:44,1
DS-N10B,4,2016-05-25,06:43,08:08,84
DS-N06,4,2016-05-25,06:44,07:38,54
DS-M97,2,2016-05-25,06:45,07:51,65
DS-M97,2,2016-05-25,06:45,07:51,65
DS-N11,4,2016-05-25,06:46,07:38,52
DS-N08,4,2016-05-25,06:48,08:08,79
DS-N13R,4,2016-05-25,06:49,08:08,78
DS-N10A,4,2016-05-25,06:49,07:39,49
DS-N12,4,2016-05-25,06:51,07:38,47
DS-M61A,3,2016-05-25,06:53,06:54,1
DS-D11,14,2016-05-25,06:53,07:46,52
DS-N04,4,2016-05-25,06:55,07:39,43
DS-M61A,3,2016-05-25,06:56,06:57,1
DS-N16,4,2016-05-25,06:56,07:39,42
DS-M61A,3,2016-05-25,06:58,07:41,43
DS-N17,4,2016-05-25,06:58,07:39,40
DS-N18,4,2016-05-25,06:59,08:49,110
DS-N19,4,2016-05-25,06:59,07:38,39
DS-M104W,1,2016-05-25,07:01,07:39,37
DS-M86,3,2016-05-25,07:02,07:38,36
DS-M101,2,2016-05-25,07:02,09:02,120
DS-M101,2,2016-05-25,07:02,09:02,120
DS-M38,6,2016-05-25,07:04,07:39,35
DS-M38,6,2016-05-25,07:04,07:40,35
DS-M79,3,2016-05-25,07:05,07:43,38
TG-I28 & I29,6,2016-05-25,07:08,07:38,30
DS-M82,3,2016-05-25,07:09,07:45,36
TG-I32,6,2016-05-25,07:09,07:39,29
DS-N09,4,2016-05-25,07:09,07:38,28
DS-M97,2,2016-05-25,07:10,07:39,28
