Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
CDS-45,9th Ave ext. & 151st St (S),TG05,Little Cal R (South),Calumet,8/20/2016 9:13:00 AM,8/20/2016 12:39:00 PM,:03:26:00
CDS-C-1,South Park Ave (S),TG02,Little Cal R (South),Calumet,8/20/2016 10:04:00 AM,8/20/2016 10:34:00 AM,:00:30:00
DS-D05,Riverside Dr. near Sibley Ave. (E),TG2,DesPlaines Upper,Stickney,7/23/2016 10:28:17 PM,7/23/2016 10:57:21 PM,:00:29:04
DS-D05,Riverside Dr. near Sibley Ave. (E),TG2,DesPlaines Upper,Stickney,7/21/2016 9:12:01 PM,7/21/2016 9:32:09 PM,:00:20:08
DS-D05,Riverside Dr. near Sibley Ave. (E),TG2,DesPlaines Upper,Stickney,6/22/2016 8:33:33 PM,6/22/2016 9:09:13 PM,:00:35:40
DS-D06,Touhy Ave (E),TG1,DesPlaines Upper,Stickney,5/13/2016 8:46:05 PM,5/14/2016 1:42:09 AM,:04:56:04
DS-D06,Touhy Ave (E),TG1,DesPlaines Upper,Stickney,5/12/2016 3:06:05 AM,5/12/2016 5:25:13 AM,:02:19:08
DS-D07,Devon Ave (E),TG3,DesPlaines Upper,Stickney,5/13/2016 10:15:37 PM,5/13/2016 11:32:21 PM,:01:16:44
DS-D07,Devon Ave (E),TG2,DesPlaines Upper,Stickney,5/13/2016 10:12:17 PM,5/14/2016 1:42:49 AM,:03:30:32
DS-D07,South Devon Ave. & E. River Road (E),TG1,DesPlaines Upper,Stickney,5/13/2016 10:12:17 PM,5/14/2016 2:22:29 AM,:04:10:12
DS-D07,Devon Ave (E),TG3,DesPlaines Upper,Stickney,5/12/2016 3:09:13 AM,5/12/2016 4:35:05 AM,:01:25:52
DS-D07,Devon Ave (E),TG2,DesPlaines Upper,Stickney,5/12/2016 3:08:17 AM,5/12/2016 5:32:29 AM,:02:24:12
DS-D07,South Devon Ave. & E. River Road (E),TG1,DesPlaines Upper,Stickney,5/12/2016 3:07:21 AM,5/12/2016 6:28:01 AM,:03:20:40
DS-D09,Foster Ave (N),TG2,DesPlaines Middle,Stickney,5/13/2016 10:28:53 PM,5/14/2016 12:52:09 AM,:02:23:16
DS-D09,Foster Ave (N),TG1,DesPlaines Middle,Stickney,5/13/2016 10:28:17 PM,5/14/2016 1:06:21 AM,:02:38:04
DS-D09,Foster Ave (N),TG2,DesPlaines Middle,Stickney,5/12/2016 3:17:57 AM,5/12/2016 4:51:33 AM,:01:33:36
DS-D09,Foster Ave (N),TG1,DesPlaines Middle,Stickney,5/12/2016 3:17:29 AM,5/12/2016 5:14:09 AM,:01:56:40
DS-D10,Wilson Ave ext. (Wilson & East River Rd) (E),TG1,DesPlaines Middle,Stickney,7/24/2016 6:19:37 PM,7/24/2016 6:49:53 PM,:00:30:16
DS-D10,Wilson Ave ext. (Wilson & East River Rd) (E),TG1,DesPlaines Middle,Stickney,5/13/2016 9:22:45 PM,5/14/2016 1:08:29 AM,:03:45:44
DS-D11,Belmont Ave (E),TG1,DesPlaines Middle,Stickney,7/24/2016 7:04:57 PM,7/24/2016 7:50:09 PM,:00:45:12
DS-D11,Belmont Ave (E),TG1,DesPlaines Middle,Stickney,7/23/2016 7:11:17 PM,7/23/2016 7:51:49 PM,:00:40:32
DS-D11,Belmont Ave (E),TG1,DesPlaines Middle,Stickney,6/22/2016 8:55:09 PM,6/22/2016 9:48:13 PM,:00:53:04
DS-D11,Belmont Ave (E),TG1,DesPlaines Middle,Stickney,5/25/2016 6:53:57 PM,5/25/2016 7:46:45 PM,:00:52:48
DS-D11,Belmont Ave (E),TG1,DesPlaines Middle,Stickney,5/12/2016 3:13:21 AM,5/12/2016 3:50:05 AM,:00:36:44
DS-D12I,South of Irving Park Rd (W),TG1,DesPlaines Middle,Stickney,6/22/2016 8:41:45 PM,6/22/2016 8:43:49 PM,:00:02:04
DS-D12I,South of Irving Park Rd (W),TG1,DesPlaines Middle,Stickney,5/13/2016 9:41:25 PM,5/14/2016 1:13:01 AM,:03:31:36
DS-D13,Robinson Rd (W),TG1,DesPlaines Middle,Stickney,5/13/2016 10:27:37 PM,5/13/2016 11:12:29 PM,:00:44:52
DS-D13,Robinson Rd (W),TG1,DesPlaines Middle,Stickney,5/12/2016 2:57:13 AM,5/12/2016 5:58:13 AM,:03:01:00
DS-D15,Franklin St (W),TG1,DesPlaines Middle,Stickney,5/13/2016 11:41:49 PM,5/14/2016 12:24:57 AM,:00:43:08
DS-D15,Franklin St (W),TG1,DesPlaines Middle,Stickney,5/13/2016 9:56:05 PM,5/13/2016 11:23:53 PM,:01:27:48
DS-D15,Franklin St (W),TG1,DesPlaines Middle,Stickney,5/12/2016 2:26:33 AM,5/12/2016 5:56:29 AM,:03:29:56
