line_number,PIPE_DESC
1,100TH STREET WEST
2,122ND STREET EAST
3,122ND STREET PUMP STATION
4,130TH STREET EAST
5,134TH STREET
6,134TH STREET EAST
7,138TH & ESCANABA
8,138TH PLACE
9,13A PUMP STATION
10,142ND & MACKINAY
11,144TH STREET
12,147TH STREET
13,149TH STREET
14,14TH PLACE WEST
15,14TH STREET EAST
16,14TH STREET WEST
17,151ST STREET
18,152ND STREET(EXTENDED)
19,153RD ST & DEARBORN(EXT)
20,15TH STREET EAST
21,161ST STREET & DAMEN AVE
22,16TH STREET EAST
23,16TH STREET WEST
24,18TH STREET EAST
25,18TH STREET WEST
26,19TH STREET EAST
27,26TH ST E SIDE DES PLN RVR
28,26TH ST W SIDE DES PLN RVR
29,30TH STREET
30,31ST STREET
31,31ST STREET EAST
32,35TH STREET EAST
33,35TH STREET WEST
34,37TH STREET EAST
35,37TH STREET WEST
36,38TH & RACINE AVENUE
37,40TH STREET
38,47TH STREET
39,49TH STREET
40,49TH STREET & EAST AVENUE
41,57TH STREET
42,67TH STREET
43,6872 TOUHY AVENUE
44,75TH STREET
45,"90"" TRTMNT PLT BYPASS"
46,92ND STREET WEST
47,94TH PLACE (95TH ST PS)
48,94TH PLACE WEST
49,95TH STREET WEST
50,ADAMS STREET EAST
51,ADDISON STREET EAST
52,ADDISON STREET WEST
53,AGATITE AVENUE EAST
54,ALBANY AVENUE NORTH
55,ALBANY AVENUE NORTH
56,ALGONQUIN RD (E)
57,ARCHER AVENUE EAST
58,ARCHER AVENUE WEST
59,ARDMORE AVENUE EAST
60,ARDMORE AVENUE WEST
61,ARGO
62,ARGYLE STREET WEST
63,ASHLAND AVENUE EAST
64,ASHLAND AVENUE NORTH
65,ASHLAND AVENUE WEST
66,AUGUSTA STREET
67,BALMORAL AVENUE EAST
68,BARRYPOINT ROAD (EAST #1)
69,BEAUBIEN CT. SOUTH
70,BELMONT AVENUE (ELM ST)
71,BELMONT AVENUE EAST
72,BELMONT AVENUE WEST
73,BENTON
74,BENTON STREET CHAMBER
75,BERTEAU AVENUE WEST
76,BERWYN AVENUE WEST
77,BIRCHWOOD AVENUE EAST
78,BLACKHAWK STREET EAST
79,BLACKHAWK STREET WEST
80,BLUFF CITY BLVD BASN OVRFL
81,BLUFF CTY BLVD BASIN OVFLW
82,BRAINARD & MONROE
83,BRIAR ROAD AT OVERLOOK DR
84,BRIDGE STREET
85,BROOKFIELD AVENUE (N SIDE)
86,BROOKFIELD AVENUE (S SIDE)
87,BRYN MAWR AVENUE EAST
88,BRYN MAWR AVENUE WEST
89,BURNHAM AVENUE NORTH
90,BURNHAM AVENUE OUTFALL
91,BURNHAM AVENUE SOUTH
92,CALDWELL AVE & TOUHY AVE
93,CALIFORNIA AVENUE
94,CALIFORNIA AVENUE
95,CALIFORNIA AVENUE NORTH
96,CALIFORNIA AVENUE SOUTH
97,CALIFORNIA BOULEVARD SOUTH
98,CALUMET 1-C
99,CAMPBELL EXT  N BNK CAL SL
100,CAMPBELL EXT  S BNK CAL SL
101,CANAL STREET SOUTH
102,CARROLL AVENUE WEST
103,CASS STREET CHAMBER
104,CENTER AVENUE
105,CENTRAL AVENUE NORTH
106,CENTRAL PARK
107,CENTRAL PARK AVENUE NORTH
108,CENTRAL PARK AVENUE NORTH
109,CENTRAL PARK AVENUE SOUTH
110,CENTRAL ROAD
111,CENTRAL ROAD
112,CERMAK ROAD EAST
113,CERMAK ROAD WEST
114,CHATHAM STREET
115,CHESTNUT AND GRANT STREETS
116,CHICAGO AVENUE
117,CHICAGO AVENUE EAST
118,CHICAGO AVENUE WEST
119,CHICAGO GREAT WSTRN RAILRD
120,CHICAGO ST. BASIN OVERFLOW
121,CHICAGO STREET BASIN
122,CHRISTIANA AVENUE WEST
123,CHURCH STREET
124,CICERO AVENUE NORTH
125,CICERO AVENUE SOUTH
126,CICERO AVENUE SOUTH
127,CLARK
128,CLARK (016A)
129,CLARK STREET NORTH
130,CLARK STREET SOUTH
131,CLAY STREET
132,CLAY STREET CHAMBER
133,CLEVELAND STREET
134,CLIFTON AVENUE EAST
135,CLINTON STREET
136,COLUMBIA STREET CHAMBER
137,CORTEZ STREET EAST
138,CORTEZ STREET WEST
139,CORTLAND STREET EAST
140,CORTLAND STREET WEST
141,CROWLEY STREET CHAMBER
142,"CS0-DEVON AVE (E) 42"""
143,CS0-STP OUTFALL
144,CULLOM AVENUE EAST
145,DAMEN AVENUE EAST
146,DAMEN AVENUE NORTH
147,DAMEN AVENUE SOUTH
148,DAMEN AVENUE WEST
149,DEARBORN STREET NORTH
150,DEARBORN STREET SOUTH
151,DEMPSTER STREET
152,DEVON AVENUE
153,DEVON AVENUE
154,DEVON AVENUE EAST
155,DEVON AVENUE WEST
156,DIVERSEY AND VILLA AVENUE
157,DIVERSEY AVENUE EAST
158,DIVERSEY AVENUE WEST
159,DIVERSEY/VILLA AVE. LFT ST
160,DIVERSEY/VILLA AVE. LFT ST
161,DIVISION AVENUE (NORTH)
162,DIVISION AVENUE (SOUTH)
163,DIVISION STREET
164,DIVISION STREET EAST
165,DIVISION STREET WEST
166,DIVISION STREET WEST
167,DOBSON ST & NORDICA AVE
168,DORCHESTER AVENUE
169,DOUGLAS AVENUE BASIN
170,DREXAL AVENUE
171,DREXEL AVENUE NORTH
172,DUNCAN STREET CHAMBER EAST
173,DUNCAN STREET CHAMBER-WEST
174,DUNDEE AVENUE BASIN
175,E CALDWELL AVE @ CLEVELAND
176,E OF CALDWELL AVE @ MAIN
177,EAST AVENUE
178,EAST AVENUE(EXTENDED)
