Name,Count,Percent
002 Lemont WRP,52,0.004799261652054
122ND ST PS (CDS-28),2,0.000184586986617
125th St PS,20,0.001845869866174
125TH ST PS (CDS-13),27,0.002491924319335
95th St PS,1,0.000092293493309
95TH ST PS (CDS-34),4,0.000369173973235
C-1,28,0.002584217812644
CDS-10,42,0.003876326718966
CDS-11,34,0.003137978772497
CDS-12,22,0.002030456852792
CDS-14,17,0.001568989386248
CDS-15-1,13,0.001199815413013
CDS-16,3,0.000276880479926
CDS-17,3,0.000276880479926
CDS-18,45,0.004153207198892
CDS-2,72,0.006645131518228
CDS-20,78,0.00719889247808
CDS-20-1,1,0.000092293493309
CDS-20-2,1,0.000092293493309
CDS-21,100,0.009229349330872
CDS-22,36,0.003322565759114
CDS-23,22,0.002030456852792
CDS-39,34,0.003137978772497
CDS-4,81,0.007475772958006
CDS-41,37,0.003414859252423
CDS-42,10,0.000922934933087
CDS-43,9,0.000830641439778
CDS-45,32,0.002953391785879
CDS-48,3,0.000276880479926
CDS-5,10,0.000922934933087
CDS-51,15,0.001384402399631
CDS-53,8,0.00073834794647
CDS-55,25,0.002307337332718
CDS-6,39,0.00359944623904
CDS-7,32,0.002953391785879
CDS-8,24,0.002215043839409
CDS15,20,0.001845869866174
CDS20-1,5,0.000461467466544
CDS20-2,5,0.000461467466544
CDS20-b,1,0.000092293493309
CRCW,7,0.000646054453161
D39,1,0.000092293493309
D8,1,0.000092293493309
DS-D01,28,0.002584217812644
DS-D02,64,0.005906783571758
DS-D05,31,0.00286109829257
DS-D06,101,0.009321642824181
DS-D07,86,0.00793724042455
DS-D08,91,0.008398707891094
DS-D09,32,0.002953391785879
DS-D10,72,0.006645131518228
DS-D11,45,0.004153207198892
DS-D12I,6,0.000553760959852
DS-D13,41,0.003784033225658
DS-D14,40,0.003691739732349
DS-D15,79,0.007291185971389
DS-D16,62,0.005722196585141
DS-D17,30,0.002768804799262
DS-D18,97,0.008952468850946
"DS-D19,23",37,0.003414859252423
DS-D20I,4,0.000369173973235
"DS-D21,25",44,0.004060913705584
"DS-D22,24,25",44,0.004060913705584
DS-D26,26,0.002399630826027
DS-D27I,33,0.003045685279188
DS-D28,90,0.008306414397785
"DS-D28,30",20,0.001845869866174
DS-D31,142,0.013105676049838
DS-D32,61,0.005629903091832
DS-D33,30,0.002768804799262
DS-D35,62,0.005722196585141
DS-D36,39,0.00359944623904
"DS-D37,38",131,0.012090447623442
"DS-D39,42,46",117,0.01079833871712
DS-D40,3,0.000276880479926
DS-D41,113,0.010429164743886
DS-D43,12,0.001107521919705
"DS-D44,45",79,0.007291185971389
"DS-D47,50,51",153,0.014120904476234
DS-D48,56,0.005168435625288
DS-D49,106,0.009783110290724
DS-D52,67,0.006183664051684
DS-D62,11,0.001015228426396
DS-D66,2,0.000184586986617
DS-M03,236,0.021781264420858
DS-M08,197,0.018181818181818
DS-M09,87,0.008029533917859
DS-M10,80,0.007383479464698
DS-M101,74,0.006829718504845
DS-M104,149,0.013751730503
DS-M104E,62,0.005722196585141
DS-M105W,85,0.007844946931241
DS-M106E,93,0.008583294877711
