line_number,Location
1,Sheridan Rd (Wilmette P.S.) (W)
2,Birchwood Ave (E)
3,Touhy Ave (E)
4,Pratt Ave (E)
5,North Shore Ave (E)
6,Devon Ave (W)
7,Devon Ave (E)
8,Peterson Ave (E)
9,Peterson Ave (W)
10,Thorndale Ave (W)
11,Ardmore Ave (W)
12,Ardmore Ave (E)
13,Bryn Mawr Ave (E)
14,Bryn Mawr Ave (W)
15,Balmoral Ave (E)
16,Berwyn Ave (W)
17,Berwyn Ave (E)
18,Foster Ave (W)
19,Foster Ave (E)
20,Fargo Ave at Nordica Ave (W)
21,6872 Touhy Ave  (Franks &amp; Nieman) (W)
22,Imlay St &amp; Milwaukee (W)
23,Wildwood Ave ext. (Caldwell &amp; Tonty) (E)
24,Miami Ave (Indian &amp; Monitor) (W)
25,Peterson Ave (W)
26,Mango Ave ext. (Leonard &amp; Miltmore) (W)
27,Central Ave (5900 - 6100 North) (N)
28,Linder Ave (W)
29,Ardmore Ave (Indian &amp; Ardmore)  (W)
30,"Forest Glen Ave (S), West of Cicero"
31,Lamon Ave (S)
32,Forest Glen Ave (N)
33,"Cicero Ave (N), South of Forest Glen"
34,Kenton Ave (N)
35,Kilbourn Ave &amp; Bryn Mawr (N)
36,Foster Ave &amp; Keeler (W)
37,Trumbull Ave (N) (Bernard)
38,St. Louis Ave (N)
39,Argyle St (W)
40,Kedzie Ave (S)
41,Lawrence Ave (W)
42,Lawrence Ave (W)
43,Giddings St (W)
44,Leland Ave (W)
45,Leland Ave (E)
46,Wilson Ave (E)
47,Wilson Ave (W)
48,Sunnyside Ave (E)
49,Sunnyside Ave (W)
50,Agatite Ave (E)
51,Montrose Ave (E)
52,Montrose Ave (W)
53,Berteau Ave (W)
54,Irving Park Rd (E)
55,Irving Park Rd (W)
56,Grace St (W)
57,"Grace St (W), North of DS-M86"
58,Addison St (W)
59,Addison St (Inside ComEd's property) (E)
60,Roscoe St (W)
61,Melrose St &amp; North Rockwell St (W)
62,Belmont Ave (W)
63,Western Ave East Bank (N)
64,Oakley Ave East Bank (E)
65,"Leavitt St East Bank (N), Southwest of DS-M80"
66,Diversey Ave (W)
67,Diversey Ave (E)
68,Logan Blvd (W)
69,Damen Ave West Bank (S)
70,Fullerton Ave (W)
71,Fullerton Ave (E)
72,Ashland Ave East Bank (N)
73,Webster Ave (E)
74,McLean Ave (W)
75,McLean Ave (E)
76,Cortland St (W)
77,Cortland St (E)
78,Clifton Ave (E)
79,North Ave (W)
80,North Ave (E)
81,Blackhawk St (W)
82,Blackhawk St (E)
83,Eastman St (E)
84,Division St (W)
85,Division St (E)
86,Division St (W)
87,Halsted St (E)
88,Halsted St (W)
89,Cortez St &amp; Elston (1030 N. Elston) (W)
90,Cortez St (W)
91,Hobbie St (E)
92,Haines St (E)
93,Halsted St (N)
94,Halsted St (S)
95,Chicago Ave (W)
96,Chicago Ave (E)
97,Erie St (W)
98,Erie St (E)
99,Grand Ave (W)
100,Kinzie St (W)
101,Fulton St &amp; Canal St (W)
102,Lake Shore Dr (N)
103,Fairbanks Ct. (St. Clair) (N)
104,Beaubien Ct (St. Clair Street) (N)
105,St. Clair St (Beaubien Ct) (N)
106,Michigan Ave (S)
107,Michigan Ave (S)
108,Dearborn St  &amp; Lower Wacker
109,Rush St. (N)
110,Wabash Ave (S)
111,State St (S)
112,Dearborn St (N)
113,Clark St (N)
114,Clark St (S)
115,LaSalle St (N)
116,LaSalle St (S)
117,Wells St (N)
118,Wells St (S)
119,Franklin St (S)
120,Randolph St (E)
121,Washington St (E)
122,Washington St (W)
123,Madison St (E)
124,Monroe St (E)
125,Quincy St &amp; Lower W (E)
126,Adams St (E)
127,Jackson Blvd (E)
128,Van Buren St (E)
129,Harrison St (W)
130,Harrison St (E)
131,Polk St (W)
132,Taylor St (E)
133,Taylor St (W)
134,Roosevelt Rd (Roosevelt &amp; Lumber) (W)
135,Roosevelt Rd (E)
136,Maxwell St (Maxwell &amp; Lumber) (W)
137,14th St (W)
138,14th St (E)
139,15th St (E)
140,16th St (W)
141,16th St (E)
142,18th St (E)
143,18th St (W)
144,19th St (E)
145,Canal St &amp; Grove St (S)
146,Stewart Ave (S)
147,Cermak Rd (W)
148,Cermak Rd (E)
149,Normal Ave (S)
150,Wallace St (S)
151,Union Ave (N)
152,Halsted St (N)
153,Halsted St (S)
154,Morgan St (N)
155,Senour Ave (S)
156,Throop St (S)
157,Throop St (N)
158,Racine Ave (N)
159,Loomis St (S)
160,Laflin St (N)
161,Ashland Ave (N)
162,Paulina St (N)
163,Wood St (S)
164,Wood St (N)
165,Damen Ave (N)
166,Ashland Ave (W)
167,Archer Ave (W)
168,Archer Ave (E)
169,31st St (E)
170,35th St (E)
171,35th St. (W)
172,37th St (W)
173,37th St (E)
174,Iron St (50' Wof NW RAPS) (S)
175,Oakley Ave (N)
176,Western Ave (S)
177,Rockwell St (N)
178,California Ave (S)
179,Albany Ave (N)
180,Kedzie Ave (N)
181,Kedzie Ave (S)
182,Central Park Ave (S)
183,Lawndale Ave (N)
184,Pulaski Rd (N)
185,Pulaski Rd (S)
186,Kenton Ave (Kostner Ave Ext.) (N)
187,Cicero Ave (S)
188,Leamington Ave (S)
189,Natchez Ave ext. (S)
190,Nashville Ave P.S. (S)
191,Wilson Ave ext. (Wilson &amp; East River Rd) (E)
192,Belmont Ave (E)
193,Torrence Ave (134th &amp; Brainard) (N)
194,Vernon Ave &amp; E. 134th St (N)
195,Forest Ave (N)
196,Indiana Ave (E)
197,130th St (E)
198,Indiana Ave (East of Wabash) (ACME Steel) (W)
199,Stewart Ave (also known as Normal Ave or Harvard) (N)
200,Parnell Ave (N)
201,Halsted St (N)
202,Peoria Ave (N)
203,Laflin Ave (N)
