Collect date  ,Sampling point,FEC_COL cts/100mL,E COLI cts/100mL
03-Jan-05,WW_12,140,140
03-Jan-05,WW_13,1000,
03-Jan-05,WW_78,870,460
03-Jan-05,WW_17,1000,
03-Jan-05,WW_19,910,
03-Jan-05,WW_20,940,
03-Jan-05,WW_24,2800,
03-Jan-05,WW_109,5700,
03-Jan-05,WW_22,4400,
03-Jan-05,WW_23,3400,
03-Jan-05,WW_29,6200,
03-Jan-05,WW_91,9500,
03-Jan-05,WW_80,2400,
03-Jan-05,WW_18,2400,
03-Jan-05,WW_90,2600,1300
03-Jan-05,WW_110,6700,4400
03-Jan-05,WW_89,2700,2000
03-Jan-05,WW_64,4100,2800
03-Jan-05,WW_92,210,
10-Jan-05,WW_105,40,90
10-Jan-05,WW_104,2000,1300
10-Jan-05,WW_103,1400,2200
10-Jan-05,WW_34,2000,2100
10-Jan-05,WW_37,5600,
10-Jan-05,WW_73,3600,
10-Jan-05,WW_46,3200,
10-Jan-05,WW_102,4200,
10-Jan-05,WW_36,6700,
10-Jan-05,WW_101,6200,
10-Jan-05,WW_96,1600,1000
10-Jan-05,WW_92,420,
18-Jan-05,WW_100,370,360
18-Jan-05,WW_39,770,710
18-Jan-05,WW_108,90,60
18-Jan-05,WW_40,11000,
18-Jan-05,WW_75,7400,
18-Jan-05,WW_41,3100,
18-Jan-05,WW_92,7600,
18-Jan-05,WW_42,960,
18-Jan-05,WW_48,960,
24-Jan-05,WW_50,90,90
24-Jan-05,WW_76,2000,970
24-Jan-05,WW_58,800,
24-Jan-05,WW_54,5400,
24-Jan-05,WW_97,3000,
24-Jan-05,WW_59,530,
24-Jan-05,WW_92,350,
31-Jan-05,WW_92,210,
07-Feb-05,WW_12,160,
07-Feb-05,WW_13,850,
07-Feb-05,WW_77,510,
07-Feb-05,WW_78,530,
07-Feb-05,WW_17,690,
07-Feb-05,WW_19,960,
07-Feb-05,WW_20,1000,
07-Feb-05,WW_24,2600,2500
07-Feb-05,WW_109,3400,5100
07-Feb-05,WW_22,2400,
07-Feb-05,WW_23,880,
07-Feb-05,WW_29,830,
07-Feb-05,WW_91,2600,
07-Feb-05,WW_80,1100,1200
07-Feb-05,WW_18,2300,3000
07-Feb-05,WW_90,400,
07-Feb-05,WW_110,2300,
07-Feb-05,WW_89,6600,
07-Feb-05,WW_64,6100,
07-Feb-05,WW_92,170,
14-Feb-05,WW_106,400,
14-Feb-05,WW_31,400,
14-Feb-05,WW_32,530,
14-Feb-05,WW_105,240,
14-Feb-05,WW_104,570,
14-Feb-05,WW_103,1400,
14-Feb-05,WW_34,840,
14-Feb-05,WW_37,24000,19000
14-Feb-05,WW_73,23000,28000
14-Feb-05,WW_46,13000,16000
14-Feb-05,WW_102,42000,26000
14-Feb-05,WW_36,20000,19000
14-Feb-05,WW_101,21000,20000
14-Feb-05,WW_96,21000,
14-Feb-05,WW_92,190,
22-Feb-05,WW_74,170,180
22-Feb-05,WW_100,790,
22-Feb-05,WW_39,1300,
22-Feb-05,WW_108,550,
22-Feb-05,WW_99,190,
22-Feb-05,WW_40,420,370
22-Feb-05,WW_75,230,210
22-Feb-05,WW_41,200,250
22-Feb-05,WW_92,160,
22-Feb-05,WW_42,2100,1300
22-Feb-05,WW_48,730,620
28-Feb-05,WW_49,<10,
28-Feb-05,WW_50,20,
28-Feb-05,WW_86,210,
28-Feb-05,WW_55,20,
28-Feb-05,WW_56,170,
28-Feb-05,WW_76,2800,
28-Feb-05,WW_57,29000,24000
28-Feb-05,WW_58,2700,2600
28-Feb-05,WW_54,20000,25000
28-Feb-05,WW_97,8900,11000
28-Feb-05,WW_52,1500,1500
28-Feb-05,WW_59,2200,1600
28-Feb-05,WW_43,470,320
28-Feb-05,WW_92,40,
07-Mar-05,WW_12,40,
07-Mar-05,WW_13,330,300
07-Mar-05,WW_78,220,
07-Mar-05,WW_17,260,250
07-Mar-05,WW_19,690,430
07-Mar-05,WW_20,1100,1000
07-Mar-05,WW_24,620,
07-Mar-05,WW_109,450,
07-Mar-05,WW_22,500,370
07-Mar-05,WW_23,360,400
07-Mar-05,WW_29,90,
07-Mar-05,WW_91,40,40
07-Mar-05,WW_79,70,
07-Mar-05,WW_80,540,
07-Mar-05,WW_18,470,
07-Mar-05,WW_90,40,
07-Mar-05,WW_110,360,
07-Mar-05,WW_89,2000,
07-Mar-05,WW_64,1100,
07-Mar-05,WW_92,160,
14-Mar-05,WW_106,3200,
14-Mar-05,WW_31,680,
14-Mar-05,WW_32,670,
14-Mar-05,WW_105,70,
14-Mar-05,WW_104,60,
14-Mar-05,WW_103,550,
14-Mar-05,WW_34,2300,
14-Mar-05,WW_37,2000,
14-Mar-05,WW_73,860,
14-Mar-05,WW_46,600,
14-Mar-05,WW_102,980,
14-Mar-05,WW_36,2800,
14-Mar-05,WW_101,3500,
14-Mar-05,WW_96,390,
14-Mar-05,WW_92,760,
21-Mar-05,WW_74,4300,
21-Mar-05,WW_100,30,
21-Mar-05,WW_39,9700,
21-Mar-05,WW_108,1500,
21-Mar-05,WW_99,220,
