Outfall Location;Waterway Segment;Date;Start Time; End Time; Duration mins
CDS-45;20;10/30/2013;11:58;0:22;-1416
NBPS (DS-M90 & DS-M91);3;10/31/2013;4:9;6:31;142
CDS-11;21;10/31/2013;0:48;1:29;41
002 Lemont WRP;11;10/31/2013;4:50;9:25;275
PULASKI RD PS (18E-PS);21;10/31/2013;0:39;8:16;457
CDS-2;21;10/31/2013;0:39;8:16;457
CDS-4;21;10/31/2013;0:39;8:16;457
NBPS (DS-M90 & DS-M91);3;10/31/2013;5:9;8:41;212
DS-D28;14;10/31/2013;4:21;7:36;195
DS-D28;14;10/31/2013;8:7;8:11;4
DS-D31;14;10/31/2013;4:47;7:34;167
DS-D31;14;10/31/2013;7:35;7:43;8
DS-D31;14;10/31/2013;8:22;8:25;3
DS-D32;14;10/31/2013;5:9;5:55;46
DS-D32;14;10/31/2013;7:18;7:35;17
DS-D35;14;10/31/2013;4:25;7:38;193
DS-D35;14;10/31/2013;7:48;7:56;8
DS-D36;14;10/31/2013;4:33;7:32;179
DS-D36;14;10/31/2013;8:5;8:8;3
DS-D37,38;16;10/31/2013;6:23;7:33;70
DS-D37,38;16;10/31/2013;7:48;7:55;7
DS-D41;15;10/31/2013;4:20;7:27;187
DS-D41;15;10/31/2013;7:36;7:39;3
DS-D41;15;10/31/2013;8:5;8:8;3
DS-D41;15;10/31/2013;8:16;8:20;4
DS-D43;15;10/31/2013;4:24;7:31;187
DS-D43;15;10/31/2013;7:45;7:54;9
DS-D47,50,51;16;10/31/2013;5:1;7:31;150
DS-D47,50,51;16;10/31/2013;7:37;7:41;4
DS-D47,50,51;16;10/31/2013;7:51;7:59;8
DS-D47,50,51;16;10/31/2013;8:5;8:18;13
DS-D47,50,51;16;10/31/2013;5:22;7:30;128
DS-D47,50,51;16;10/31/2013;7:36;7:38;2
DS-D47,50,51;16;10/31/2013;7:50;7:54;4
DS-D47,50,51;16;10/31/2013;7:55;7:57;2
DS-D47,50,51;16;10/31/2013;5:33;7:54;141
DS-D47,50,51;16;10/31/2013;8:3;8:11;8
DS-D47,50,51;16;10/31/2013;8:3;8:16;13
DS-D48;15;10/31/2013;4:22;7:31;189
DS-D49;15;10/31/2013;4:20;7:30;190
DS-D49;15;10/31/2013;7:38;7:41;3
DS-D49;15;10/31/2013;7:50;7:59;9
DS-D49;15;10/31/2013;8:6;8:17;11
DS-D52;14;10/31/2013;4:24;8:1;217
DS-M03;9;10/31/2013;0:49;11:38;649
DS-M08;9;10/31/2013;0:50;11:59;669
DS-M09;9;10/31/2013;2:57;4:24;87
DS-M09;9;10/31/2013;4:44;9:53;309
DS-M09;9;10/31/2013;2:49;11:59;1270
DS-M10;9;10/31/2013;5:44;9:15;211
DS-M10;9;10/31/2013;5:35;6:41;66
DS-M10;9;10/31/2013;5:45;9:10;205
DS-M10;9;10/31/2013;5:36;6:41;65
DS-M10;9;10/31/2013;5:45;9:16;211
DS-M10;9;10/31/2013;5:35;6:42;67
DS-M11;9;10/31/2013;4:55;10:35;1060
DS-M13;8;10/31/2013;4:39;10:9;330
DS-M13;8;10/31/2013;5:2;6:0;58
DS-M15;8;10/31/2013;4:24;11:59;1175
DS-M19;8;10/31/2013;1:12;9:17;485
DS-M20;8;10/31/2013;1:6;1:53;47
DS-M20;8;10/31/2013;2:29;11:6;517
DS-M20;8;10/31/2013;5:18;6:16;58
DS-M21;8;10/31/2013;2:23;7:42;319
DS-M21;8;10/31/2013;10:31;11:59;808
DS-M25;6;10/31/2013;0:51;1:12;21
DS-M25;6;10/31/2013;1:50;6:47;297
DS-M26;7;10/31/2013;1:20;1:30;10
DS-M26;7;10/31/2013;1:42;2:7;25
DS-M26;7;10/31/2013;2:26;7:16;290
DS-M26;7;10/31/2013;7:20;7:24;4
DS-M30;7;10/31/2013;0:49;11:59;670
DS-M38;6;10/31/2013;2:35;10:7;452
DS-M38;6;10/31/2013;2:35;10:6;451
WCPS (DS-D34-AI);23;10/31/2013;5:30;8:0;870
RAPS (DS-M27, DS-M28, DS-M29);7;10/31/2013;1:14;11:59;1365
TG-I12;8;10/31/2013;2:31;7:54;323
TG-I12;8;10/31/2013;8:7;9:23;76
TG-I28 & I29;6;10/31/2013;2:36;9:24;408
TG-I32;6;10/31/2013;2:34;4:16;102
TG-I32;6;10/31/2013;4:37;8:3;206
TG-I32;6;10/31/2013;8:12;8:53;41
TG-I9;8;10/31/2013;2:29;7:49;320
TG-I9;8;10/31/2013;8:8;8:36;28
TG-M16;8;10/31/2013;2:40;3:41;61
TG-M16;8;10/31/2013;4:38;9:3;265
TG-M22;8;10/31/2013;4:46;8:21;215
TG-M22;8;10/31/2013;5:6;5:49;43
TG-M22;8;10/31/2013;4:50;8:20;210
TG-M22;8;10/31/2013;5:15;5:46;31
DS-D33;14;10/31/2013;5:28;6:3;35
